Time,Total Power (W),P_VDD,V_VDD,I_VDD,P_VDDM,V_VDDM,I_VDDM
2019-03-25_11:15:29.168164,0.029256645640707,0.008837758461771,0.7512207,0.01176453,0.020418887178936,0.9017334,0.02264404
2019-03-25_11:15:29.493721,0.029845925703515998,0.0091243266222,0.7512207,0.012146,0.020721599081316,0.9017334,0.02297974
2019-03-25_11:15:29.822283,0.029531331659298,0.008757513066597,0.7512207,0.01165771,0.020773818592701,0.9016113,0.02304077
2019-03-25_11:15:30.166227,0.029297451529293,0.008826294833889,0.7512207,0.01174927,0.020471156695404,0.9016113,0.02270508
2019-03-25_11:15:30.489282,0.029250728034234,0.008586969132924,0.7513428,0.01142883,0.02066375890131,0.9016113,0.0229187
2019-03-25_11:15:30.817309,0.029549286748848,0.009102878666543999,0.7513428,0.01211548,0.020446408082304,0.9017334,0.02267456
2019-03-25_11:15:31.140958,0.029072763071288997,0.008711666067275999,0.7512207,0.01159668,0.020361097004013,0.9016113,0.02258301
2019-03-25_11:15:31.464791,0.029620366848426,0.009228991555524,0.7513428,0.01228333,0.020391375292902,0.9017334,0.02261353
2019-03-25_11:15:31.795299,0.029980163508644,0.008768976694479,0.7512207,0.01167297,0.021211186814165,0.9014893,0.02352905
2019-03-25_11:15:32.123455,0.02968164761436,0.009042611243147999,0.7510986,0.01203918,0.020639036371212,0.9017334,0.02288818
2019-03-25_11:15:32.452638,0.029487369372096,0.00906848219316,0.7513428,0.0120697,0.020418887178936,0.9017334,0.02264404
2019-03-25_11:15:32.786777,0.030928134664011,0.009766237198142999,0.7512207,0.01300049,0.021161897465868,0.9017334,0.02346802
2019-03-25_11:15:33.108504,0.029297472375183,0.008688738811512,0.7512207,0.01156616,0.020608733563671,0.9016113,0.02285767
2019-03-25_11:15:33.435488,0.02997664220541,0.009089935738554,0.7512207,0.01210022,0.020886706466856,0.9017334,0.02316284
2019-03-25_11:15:33.758786,0.029907867950325,0.009021161483469,0.7512207,0.01200867,0.020886706466856,0.9017334,0.02316284
2019-03-25_11:15:34.090524,0.029322655058508,0.008906532716856,0.7512207,0.01185608,0.020416122341652,0.9016113,0.02264404
2019-03-25_11:15:34.422981,0.028962682534008,0.008849222089652999,0.7512207,0.01177979,0.020113460444355,0.9016113,0.02230835
2019-03-25_11:15:34.746421,0.030051698070078,0.009525516037035,0.7512207,0.01268005,0.020526182033043,0.9016113,0.02276611
2019-03-25_11:15:35.086187,0.030468484763756,0.009284802388133999,0.7512207,0.01235962,0.021183682375622,0.9014893,0.02349854
2019-03-25_11:15:35.421694,0.029528173397436,0.009057016702032,0.7513428,0.01205444,0.020471156695404,0.9016113,0.02270508
2019-03-25_11:15:35.750168,0.02987492061615,0.0091258096488,0.7513428,0.012146,0.02074911096735,0.9017334,0.02301025
2019-03-25_11:15:36.078963,0.029055872970486,0.008771826066456,0.7514648,0.01167297,0.02028404690403,0.9018555,0.02249146
2019-03-25_11:15:36.402127,0.029564865950613,0.00873601300416,0.7513428,0.0116272,0.020828852946453,0.9016113,0.02310181
2019-03-25_11:15:36.729353,0.028772895020895,0.008436561534729,0.7512207,0.01123047,0.020336333486166,0.9017334,0.02255249
2019-03-25_11:15:37.053984,0.029802510200310002,0.009138751299,0.7514648,0.01216125,0.02066375890131,0.9016113,0.0229187
