Time,Total Power (W),P_VDD,V_VDD,I_VDD,P_VDDM,V_VDDM,I_VDDM
2018-11-25_23:33:24.456971,0.031242544046793,0.008952379716177,0.7512207,0.01191711,0.022290164330616,0.9017334,0.02471924
2018-11-25_23:33:24.866917,0.032064141057892,0.009058487343712,0.7514648,0.01205444,0.02300565371418,0.9017334,0.0255127
2018-11-25_23:33:25.258811,0.031571161529355,0.009641711668992,0.7513428,0.01283264,0.021929449860363,0.9016113,0.02432251
2018-11-25_23:33:25.670994,0.031581876176157,0.009181637249403,0.7512207,0.01222229,0.022400238926754,0.9017334,0.02484131
2018-11-25_23:33:26.097601,0.031402245191307,0.009445278154068,0.7512207,0.01257324,0.021956967037239,0.9016113,0.02435303
2018-11-25_23:33:26.479968,0.031358763857297994,0.008906532716856,0.7512207,0.01185608,0.022452231140441998,0.9016113,0.02490234
2018-11-25_23:33:26.890128,0.031240188759861003,0.009170173621521,0.7512207,0.01220703,0.02207001513834,0.9017334,0.0244751
2018-11-25_23:33:27.281709,0.031659031731186,0.009536979664917,0.7512207,0.01269531,0.022122052066269,0.9016113,0.02453613
2018-11-25_23:33:27.682365,0.031948709407134,0.009435347855544,0.7513428,0.01255798,0.022513361551590002,0.9018555,0.02496338
2018-11-25_23:33:28.111014,0.031684247656188,0.009366562422204,0.7513428,0.01246643,0.022317685233984,0.9017334,0.02474976
2018-11-25_23:33:28.532702,0.031668937050066,0.009433814526186,0.7512207,0.01255798,0.02223512252388,0.9017334,0.0246582
2018-11-25_23:33:28.915372,0.031976114041257005,0.009799027621236,0.7510986,0.01304626,0.022177086420021003,0.9016113,0.02459717
2018-11-25_23:33:29.331272,0.031659714404769,0.009730264544405998,0.7510986,0.01295471,0.021929449860363,0.9016113,0.02432251
2018-11-25_23:33:29.738009,0.031578732814455,0.009869402336873999,0.7512207,0.01313782,0.021709330477581,0.9016113,0.02407837
2018-11-25_23:33:30.163447,0.031638393205104,0.00932070797112,0.7513428,0.0124054,0.022317685233984,0.9017334,0.02474976
2018-11-25_23:33:30.585012,0.031401572771139,0.008952379716177,0.7512207,0.01191711,0.022449193054962,0.9014893,0.02490234
2018-11-25_23:33:30.971918,0.031927993324461,0.009720382686614999,0.7512207,0.01293945,0.022207610637846,0.9017334,0.02462769
2018-11-25_23:33:31.357824,0.031114056888237,0.009181637249403,0.7512207,0.01222229,0.021932419638833998,0.9017334,0.02432251
2018-11-25_23:33:31.787176,0.031542216693177,0.009203068437066,0.7510986,0.01225281,0.022339148256111,0.9014893,0.02478027
2018-11-25_23:33:32.217091,0.031062907120800003,0.009353576643219,0.7512207,0.01245117,0.021709330477581,0.9016113,0.02407837
2018-11-25_23:33:32.630477,0.031938839761238,0.009214530201702,0.7510986,0.01226807,0.022724309559536002,0.9014893,0.02520752
2018-11-25_23:33:33.055096,0.031765239720726,0.009502596293478001,0.7512207,0.01264954,0.022262643427248,0.9017334,0.02468872
2018-11-25_23:33:33.503069,0.0317462133708,0.009238947876605999,0.7512207,0.01229858,0.022507265494194,0.9016113,0.02496338
2018-11-25_23:33:33.910150,0.031595655613842005,0.009112862994317999,0.7512207,0.01213074,0.022482792619524003,0.9017334,0.02493286
2018-11-25_23:33:34.354070,0.031563463613739,0.009410894782629,0.7512207,0.01252747,0.022152568831109998,0.9017334,0.02456665
2018-11-25_23:33:34.770599,0.031568865412941,0.009446813346671998,0.7513428,0.01257324,0.022122052066269,0.9016113,0.02453613
2018-11-25_23:33:35.172286,0.031558995909729,0.009021161483469,0.7512207,0.01200867,0.02253783442626,0.9017334,0.0249939
2018-11-25_23:33:35.565181,0.030807616947918,0.00926338051548,0.7513428,0.0123291,0.021544236432438,0.9016113,0.02389526
2018-11-25_23:33:35.953804,0.03164520239007,0.009767824557972,0.7513428,0.01300049,0.021877377832098,0.9017334,0.02426147
2018-11-25_23:33:36.356160,0.031837872431202,0.009492675311184,0.7513428,0.01263428,0.022345197120018,0.9017334,0.02478027
2018-11-25_23:33:36.728156,0.032172642185154,0.009582834176445,0.7512207,0.01275635,0.022589808008708998,0.9016113,0.02505493
2018-11-25_23:33:37.106129,0.030956663797059,0.00899969675982,0.7513428,0.01197815,0.021956967037239,0.9016113,0.02435303
2018-11-25_23:33:37.533268,0.031960244894409004,0.009171664099884,0.7513428,0.01220703,0.022788580794525,0.9018555,0.02526855
2018-11-25_23:33:37.953838,0.031973185614461996,0.009410894782629,0.7512207,0.01252747,0.022562290831833,0.9016113,0.02502441
2018-11-25_23:33:38.371208,0.03177905863554,0.009296266016015999,0.7512207,0.01237488,0.022482792619524003,0.9017334,0.02493286
2018-11-25_23:33:38.787191,0.031339476054516,0.009238947876605999,0.7512207,0.01229858,0.02210052817791,0.9018555,0.02450562
2018-11-25_23:33:39.162691,0.031659798249321,0.009342113015337,0.7512207,0.01243591,0.022317685233984,0.9017334,0.02474976
2018-11-25_23:33:39.590221,0.032908608107481,0.009961103847723,0.7512207,0.01325989,0.022947504259758,0.9016113,0.02545166
