timestamp, power.draw [W]
2018/09/14 17:10:38.880, 14.72 W
2018/09/14 17:10:39.081, 14.72 W
2018/09/14 17:10:39.282, 14.72 W
2018/09/14 17:10:39.482, 14.72 W
2018/09/14 17:10:39.683, 15.68 W
2018/09/14 17:10:39.884, 15.68 W
2018/09/14 17:10:40.085, 15.68 W
2018/09/14 17:10:40.286, 15.68 W
2018/09/14 17:10:40.487, 15.68 W
2018/09/14 17:10:40.687, 15.20 W
2018/09/14 17:10:40.888, 15.20 W
2018/09/14 17:10:41.089, 15.20 W
2018/09/14 17:10:41.290, 15.20 W
2018/09/14 17:10:41.491, 15.20 W
2018/09/14 17:10:41.691, 15.11 W
2018/09/14 17:10:41.892, 15.11 W
2018/09/14 17:10:42.093, 15.11 W
2018/09/14 17:10:42.294, 15.11 W
2018/09/14 17:10:42.495, 15.11 W
2018/09/14 17:10:42.695, 15.97 W
2018/09/14 17:10:42.896, 15.97 W
2018/09/14 17:10:43.097, 15.97 W
2018/09/14 17:10:43.298, 15.97 W
2018/09/14 17:10:43.499, 15.97 W
2018/09/14 17:10:43.699, 15.78 W
2018/09/14 17:10:43.900, 15.78 W
2018/09/14 17:10:44.101, 15.78 W
2018/09/14 17:10:44.302, 15.78 W
2018/09/14 17:10:44.503, 15.78 W
2018/09/14 17:10:44.703, 15.30 W
2018/09/14 17:10:44.904, 15.30 W
2018/09/14 17:10:45.105, 15.30 W
2018/09/14 17:10:45.306, 15.30 W
2018/09/14 17:10:45.506, 15.30 W
2018/09/14 17:10:45.707, 16.45 W
2018/09/14 17:10:45.908, 16.45 W
2018/09/14 17:10:46.109, 16.45 W
2018/09/14 17:10:46.310, 16.45 W
2018/09/14 17:10:46.510, 16.45 W
2018/09/14 17:10:46.711, 16.07 W
2018/09/14 17:10:46.912, 16.07 W
2018/09/14 17:10:47.113, 16.07 W
2018/09/14 17:10:47.314, 16.07 W
2018/09/14 17:10:47.515, 16.07 W
2018/09/14 17:10:47.715, 16.07 W
2018/09/14 17:10:47.916, 16.07 W
2018/09/14 17:10:48.117, 16.07 W
2018/09/14 17:10:48.318, 16.07 W
2018/09/14 17:10:48.519, 16.07 W
2018/09/14 17:10:48.719, 15.87 W
2018/09/14 17:10:48.920, 15.87 W
2018/09/14 17:10:49.121, 15.87 W
2018/09/14 17:10:49.322, 15.87 W
2018/09/14 17:10:49.522, 15.87 W
2018/09/14 17:10:49.723, 14.92 W
2018/09/14 17:10:49.924, 14.92 W
2018/09/14 17:10:50.125, 14.92 W
2018/09/14 17:10:50.326, 14.92 W
2018/09/14 17:10:50.526, 14.92 W
2018/09/14 17:10:50.727, 14.72 W
2018/09/14 17:10:50.928, 14.72 W
2018/09/14 17:10:51.129, 14.72 W
2018/09/14 17:10:51.330, 14.72 W
2018/09/14 17:10:51.531, 14.72 W
2018/09/14 17:10:51.732, 13.95 W
2018/09/14 17:10:51.932, 13.95 W
2018/09/14 17:10:52.133, 13.95 W
2018/09/14 17:10:52.334, 13.95 W
2018/09/14 17:10:52.535, 13.95 W
2018/09/14 17:10:52.735, 14.24 W
2018/09/14 17:10:52.936, 14.24 W
2018/09/14 17:10:53.137, 14.24 W
2018/09/14 17:10:53.338, 14.24 W
2018/09/14 17:10:53.539, 14.24 W
2018/09/14 17:10:53.739, 14.15 W
2018/09/14 17:10:53.940, 14.15 W
2018/09/14 17:10:54.141, 14.15 W
2018/09/14 17:10:54.342, 14.15 W
2018/09/14 17:10:54.543, 14.15 W
2018/09/14 17:10:54.743, 14.63 W
2018/09/14 17:10:54.944, 14.63 W
2018/09/14 17:10:55.145, 14.63 W
2018/09/14 17:10:55.345, 14.63 W
2018/09/14 17:10:55.546, 14.63 W
2018/09/14 17:10:55.747, 14.63 W
2018/09/14 17:10:55.948, 14.63 W
2018/09/14 17:10:56.148, 14.63 W
2018/09/14 17:10:56.349, 14.63 W
2018/09/14 17:10:56.550, 14.63 W
2018/09/14 17:10:56.750, 14.34 W
2018/09/14 17:10:56.952, 14.34 W
2018/09/14 17:10:57.152, 14.34 W
2018/09/14 17:10:57.353, 14.34 W
2018/09/14 17:10:57.554, 14.34 W
2018/09/14 17:10:57.754, 15.11 W
2018/09/14 17:10:57.955, 15.11 W
2018/09/14 17:10:58.156, 15.11 W
2018/09/14 17:10:58.357, 15.11 W
2018/09/14 17:10:58.557, 15.11 W
2018/09/14 17:10:58.759, 14.72 W
2018/09/14 17:10:58.960, 14.72 W
2018/09/14 17:10:59.160, 14.72 W
2018/09/14 17:10:59.361, 14.72 W
2018/09/14 17:10:59.563, 14.72 W
2018/09/14 17:10:59.763, 15.39 W
2018/09/14 17:10:59.964, 15.39 W
2018/09/14 17:11:00.165, 15.39 W
2018/09/14 17:11:00.366, 15.39 W
2018/09/14 17:11:00.566, 15.39 W
2018/09/14 17:11:00.767, 15.21 W
2018/09/14 17:11:00.968, 15.21 W
2018/09/14 17:11:01.168, 15.21 W
2018/09/14 17:11:01.369, 15.21 W
2018/09/14 17:11:01.570, 15.21 W
2018/09/14 17:11:01.771, 15.11 W
2018/09/14 17:11:01.971, 15.11 W
2018/09/14 17:11:02.172, 15.11 W
2018/09/14 17:11:02.373, 15.11 W
2018/09/14 17:11:02.574, 15.11 W
2018/09/14 17:11:02.774, 15.87 W
2018/09/14 17:11:02.975, 15.87 W
2018/09/14 17:11:03.176, 15.87 W
2018/09/14 17:11:03.377, 15.87 W
2018/09/14 17:11:03.578, 15.87 W
2018/09/14 17:11:03.779, 15.11 W
2018/09/14 17:11:03.979, 15.11 W
2018/09/14 17:11:04.180, 15.11 W
2018/09/14 17:11:04.381, 15.11 W
2018/09/14 17:11:04.582, 15.11 W
2018/09/14 17:11:04.783, 16.35 W
2018/09/14 17:11:04.983, 16.35 W
2018/09/14 17:11:05.184, 16.35 W
2018/09/14 17:11:05.385, 16.35 W
2018/09/14 17:11:05.586, 16.35 W
2018/09/14 17:11:05.787, 15.87 W
2018/09/14 17:11:05.987, 15.87 W
2018/09/14 17:11:06.188, 15.87 W
2018/09/14 17:11:06.389, 15.87 W
2018/09/14 17:11:06.590, 15.87 W
2018/09/14 17:11:06.791, 16.07 W
2018/09/14 17:11:06.991, 16.07 W
2018/09/14 17:11:07.192, 16.07 W
2018/09/14 17:11:07.393, 16.07 W
2018/09/14 17:11:07.594, 16.07 W
2018/09/14 17:11:07.795, 15.40 W
2018/09/14 17:11:07.996, 15.40 W
2018/09/14 17:11:08.196, 15.40 W
2018/09/14 17:11:08.397, 15.40 W
2018/09/14 17:11:08.598, 15.40 W
2018/09/14 17:11:08.799, 14.72 W
2018/09/14 17:11:08.999, 14.72 W
2018/09/14 17:11:09.200, 14.72 W
2018/09/14 17:11:09.401, 14.72 W
2018/09/14 17:11:09.602, 14.72 W
2018/09/14 17:11:09.803, 14.34 W
2018/09/14 17:11:10.003, 14.34 W
2018/09/14 17:11:10.204, 14.34 W
2018/09/14 17:11:10.405, 14.34 W
2018/09/14 17:11:10.606, 14.34 W
2018/09/14 17:11:10.807, 13.95 W
2018/09/14 17:11:11.008, 13.95 W
2018/09/14 17:11:11.209, 13.95 W
2018/09/14 17:11:11.409, 13.95 W
2018/09/14 17:11:11.610, 13.95 W
2018/09/14 17:11:11.811, 14.34 W
2018/09/14 17:11:12.012, 14.34 W
2018/09/14 17:11:12.213, 14.34 W
2018/09/14 17:11:12.413, 14.34 W
2018/09/14 17:11:12.614, 14.34 W
2018/09/14 17:11:12.815, 14.24 W
2018/09/14 17:11:13.016, 14.24 W
2018/09/14 17:11:13.217, 14.24 W
2018/09/14 17:11:13.418, 14.24 W
2018/09/14 17:11:13.618, 14.24 W
2018/09/14 17:11:13.819, 14.44 W
2018/09/14 17:11:14.020, 14.44 W
2018/09/14 17:11:14.221, 14.44 W
2018/09/14 17:11:14.421, 14.44 W
2018/09/14 17:11:14.622, 14.44 W
2018/09/14 17:11:14.823, 14.44 W
2018/09/14 17:11:15.024, 14.44 W
2018/09/14 17:11:15.225, 14.44 W
2018/09/14 17:11:15.425, 14.44 W
2018/09/14 17:11:15.626, 14.44 W
2018/09/14 17:11:15.827, 15.01 W
2018/09/14 17:11:16.028, 15.01 W
2018/09/14 17:11:16.229, 15.01 W
2018/09/14 17:11:16.429, 15.01 W
2018/09/14 17:11:16.630, 15.01 W
2018/09/14 17:11:16.831, 15.01 W
2018/09/14 17:11:17.032, 15.01 W
2018/09/14 17:11:17.233, 15.01 W
2018/09/14 17:11:17.434, 15.01 W
2018/09/14 17:11:17.634, 15.01 W
2018/09/14 17:11:17.835, 14.72 W
2018/09/14 17:11:18.036, 14.72 W
2018/09/14 17:11:18.237, 14.72 W
2018/09/14 17:11:18.438, 14.72 W
2018/09/14 17:11:18.638, 14.72 W
2018/09/14 17:11:18.839, 15.49 W
2018/09/14 17:11:19.040, 15.49 W
2018/09/14 17:11:19.241, 15.49 W
2018/09/14 17:11:19.442, 15.49 W
2018/09/14 17:11:19.642, 15.49 W
2018/09/14 17:11:19.843, 15.40 W
2018/09/14 17:11:20.044, 15.40 W
2018/09/14 17:11:20.245, 15.40 W
2018/09/14 17:11:20.446, 15.40 W
2018/09/14 17:11:20.647, 15.40 W
2018/09/14 17:11:20.847, 15.01 W
2018/09/14 17:11:21.048, 15.01 W
2018/09/14 17:11:21.249, 15.01 W
2018/09/14 17:11:21.450, 15.01 W
2018/09/14 17:11:21.651, 15.87 W
2018/09/14 17:11:21.854, 15.87 W
2018/09/14 17:11:22.055, 15.87 W
2018/09/14 17:11:22.256, 15.87 W
2018/09/14 17:11:22.457, 15.87 W
2018/09/14 17:11:22.658, 15.78 W
2018/09/14 17:11:22.859, 15.78 W
2018/09/14 17:11:23.059, 15.78 W
2018/09/14 17:11:23.260, 15.78 W
2018/09/14 17:11:23.461, 15.78 W
2018/09/14 17:11:23.662, 15.30 W
2018/09/14 17:11:23.863, 15.30 W
2018/09/14 17:11:24.064, 15.30 W
2018/09/14 17:11:24.264, 15.30 W
2018/09/14 17:11:24.465, 15.30 W
2018/09/14 17:11:24.666, 16.16 W
2018/09/14 17:11:24.867, 16.16 W
2018/09/14 17:11:25.068, 16.16 W
2018/09/14 17:11:25.268, 16.16 W
2018/09/14 17:11:25.469, 16.16 W
2018/09/14 17:11:25.670, 16.35 W
2018/09/14 17:11:25.871, 16.35 W
2018/09/14 17:11:26.072, 16.35 W
2018/09/14 17:11:26.272, 16.35 W
2018/09/14 17:11:26.473, 16.35 W
2018/09/14 17:11:26.674, 16.16 W
2018/09/14 17:11:26.875, 16.16 W
2018/09/14 17:11:27.076, 16.16 W
2018/09/14 17:11:27.276, 16.16 W
2018/09/14 17:11:27.477, 16.16 W
2018/09/14 17:11:27.678, 16.07 W
2018/09/14 17:11:27.879, 16.07 W
2018/09/14 17:11:28.080, 16.07 W
2018/09/14 17:11:28.281, 16.07 W
2018/09/14 17:11:28.481, 16.07 W
2018/09/14 17:11:28.682, 16.16 W
2018/09/14 17:11:28.883, 16.16 W
2018/09/14 17:11:29.084, 16.16 W
2018/09/14 17:11:29.285, 16.16 W
2018/09/14 17:11:29.486, 16.16 W
2018/09/14 17:11:29.686, 15.30 W
2018/09/14 17:11:29.887, 15.30 W
2018/09/14 17:11:30.088, 15.30 W
2018/09/14 17:11:30.289, 15.30 W
2018/09/14 17:11:30.490, 15.30 W
2018/09/14 17:11:30.690, 14.72 W
2018/09/14 17:11:30.891, 14.72 W
2018/09/14 17:11:31.092, 14.72 W
2018/09/14 17:11:31.293, 14.72 W
2018/09/14 17:11:31.494, 14.72 W
2018/09/14 17:11:31.695, 14.82 W
2018/09/14 17:11:31.895, 14.82 W
2018/09/14 17:11:32.096, 14.82 W
2018/09/14 17:11:32.297, 14.82 W
2018/09/14 17:11:32.498, 14.82 W
2018/09/14 17:11:32.699, 13.95 W
2018/09/14 17:11:32.899, 13.95 W
2018/09/14 17:11:33.100, 13.95 W
2018/09/14 17:11:33.301, 13.95 W
2018/09/14 17:11:33.502, 13.95 W
2018/09/14 17:11:33.703, 13.86 W
2018/09/14 17:11:33.903, 13.86 W
2018/09/14 17:11:34.104, 13.86 W
2018/09/14 17:11:34.305, 13.86 W
2018/09/14 17:11:34.506, 13.86 W
2018/09/14 17:11:34.707, 14.15 W
2018/09/14 17:11:34.908, 14.15 W
2018/09/14 17:11:35.108, 14.15 W
2018/09/14 17:11:35.309, 14.15 W
2018/09/14 17:11:35.510, 14.15 W
2018/09/14 17:11:35.711, 14.15 W
2018/09/14 17:11:35.912, 14.15 W
2018/09/14 17:11:36.112, 14.15 W
2018/09/14 17:11:36.313, 14.15 W
2018/09/14 17:11:36.514, 14.15 W
2018/09/14 17:11:36.715, 13.95 W
2018/09/14 17:11:36.916, 13.95 W
2018/09/14 17:11:37.116, 13.95 W
2018/09/14 17:11:37.317, 13.95 W
2018/09/14 17:11:37.518, 13.95 W
2018/09/14 17:11:37.719, 14.43 W
2018/09/14 17:11:37.919, 14.43 W
2018/09/14 17:11:38.120, 14.43 W
2018/09/14 17:11:38.321, 14.43 W
2018/09/14 17:11:38.522, 14.43 W
2018/09/14 17:11:38.723, 14.44 W
2018/09/14 17:11:38.923, 14.44 W
2018/09/14 17:11:39.124, 14.44 W
2018/09/14 17:11:39.325, 14.44 W
2018/09/14 17:11:39.526, 14.44 W
2018/09/14 17:11:39.727, 14.15 W
2018/09/14 17:11:39.927, 14.15 W
2018/09/14 17:11:40.128, 14.15 W
2018/09/14 17:11:40.329, 14.15 W
2018/09/14 17:11:40.530, 14.15 W
2018/09/14 17:11:40.730, 14.72 W
2018/09/14 17:11:40.931, 14.72 W
2018/09/14 17:11:41.132, 14.72 W
2018/09/14 17:11:41.332, 14.72 W
2018/09/14 17:11:41.533, 14.72 W
