Time,Total Power (W),P_VDD,V_VDD,I_VDD,P_VDDM,V_VDDM,I_VDDM
2019-03-25_12:29:35.157101,0.029577441738858002,0.008495252717328,0.7513428,0.01130676,0.02108218902153,0.9018555,0.02337646
2019-03-25_12:29:35.540625,0.029693774937768,0.00899969675982,0.7513428,0.01197815,0.020694078177948,0.9017334,0.02294922
2019-03-25_12:29:35.912029,0.029494127571802004,0.008860678205328,0.7512207,0.01179504,0.020633449366474002,0.9014893,0.02288818
2019-03-25_12:29:36.296407,0.029810725103922,0.009034093233204,0.7513428,0.01202393,0.020776631870717998,0.9017334,0.02304077
2019-03-25_12:29:36.652574,0.029048951927246998,0.008495252717328,0.7513428,0.01130676,0.020553699209918997,0.9016113,0.02279663
2019-03-25_12:29:37.001754,0.029445630846300003,0.008506718208456,0.7513428,0.01132202,0.020938912637844,0.9016113,0.02322388
2019-03-25_12:29:37.358264,0.029661705865512,0.008747478495288,0.7513428,0.01164246,0.020914227370224,0.9017334,0.02319336
2019-03-25_12:29:37.727637,0.029517816427349998,0.00893381284554,0.7515869,0.0118866,0.02058400358181,0.9017334,0.02282715
2019-03-25_12:29:38.097079,0.028697728086400004,0.008724547513032,0.7513428,0.01161194,0.019973180573368002,0.9014893,0.02215576
2019-03-25_12:29:38.518511,0.029921401388421004,0.008842066632657,0.7515869,0.01176453,0.021079334755764,0.9017334,0.02337646
2019-03-25_12:29:38.913241,0.029299355637126,0.008907980344224,0.7513428,0.01185608,0.020391375292902,0.9017334,0.02261353
2019-03-25_12:29:39.286546,0.030105995032854,0.008919445835352,0.7513428,0.01187134,0.021186549197502,0.9016113,0.02349854
2019-03-25_12:29:39.643816,0.029903660031867,0.008885049361968,0.7513428,0.01182556,0.021018610669899,0.9014893,0.02331543
2019-03-25_12:29:40.020161,0.029457093359523,0.00893091132648,0.7513428,0.0118866,0.020526182033043,0.9016113,0.02276611
2019-03-25_12:29:40.385122,0.030071321957226005,0.009047019990864,0.7514648,0.01203918,0.021024301966362003,0.9017334,0.02331543
2019-03-25_12:29:40.766842,0.030402638364314997,0.008803367578124999,0.7512207,0.01171875,0.02159927078619,0.9016113,0.0239563
2019-03-25_12:29:41.124190,0.029700140700879,0.008678685548519999,0.7513428,0.0115509,0.021021455152359002,0.9016113,0.02331543
2019-03-25_12:29:41.505355,0.029134289088540002,0.008495252717328,0.7513428,0.01130676,0.020639036371212,0.9017334,0.02288818
2019-03-25_12:29:41.867884,0.029500157730794,0.008839194910884,0.7513428,0.01176453,0.020660962819910002,0.9014893,0.0229187
2019-03-25_12:29:42.233824,0.029312641684494,0.008621365606308,0.7513428,0.01147461,0.020691276078186,0.9016113,0.02294922
2019-03-25_12:29:42.626763,0.029504885777912,0.008645700214424,0.7514648,0.01150513,0.020859185563488,0.9017334,0.02313232
2019-03-25_12:29:43.009803,0.029619891251631,0.008185714510583999,0.7513428,0.01089478,0.021434176741047,0.9016113,0.02377319
2019-03-25_12:29:43.374315,0.02925393000741,0.008562653929224,0.7512207,0.01139832,0.020691276078186,0.9016113,0.02294922
2019-03-25_12:29:43.812129,0.02921681004642,0.008770401964116,0.7513428,0.01167297,0.020446408082304,0.9017334,0.02267456
2019-03-25_12:29:44.193506,0.029232389248185,0.008403536301732,0.7513428,0.01118469,0.020828852946453,0.9016113,0.02310181
2019-03-25_12:29:44.569372,0.029859773909302,0.008783293419304,0.7514648,0.01168823,0.021076480489998002,0.9016113,0.02337646
2019-03-25_12:29:44.929641,0.029644293716335,0.009035560152664001,0.7514648,0.01202393,0.020608733563671,0.9016113,0.02285767
2019-03-25_12:29:45.321687,0.02935849915926,0.008942376817608,0.7513428,0.01190186,0.020416122341652,0.9016113,0.02264404
2019-03-25_12:29:45.715513,0.030033194183898,0.008816263928627999,0.7513428,0.01173401,0.02121693025527,0.9017334,0.02352905
2019-03-25_12:29:46.098712,0.029322336473670003,0.008518183699584,0.7513428,0.01133728,0.020804152774086003,0.9017334,0.02307129
2019-03-25_12:29:46.483041,0.029551994471387996,0.008585573672780998,0.7512207,0.01142883,0.020966420798607,0.9016113,0.02325439
2019-03-25_12:29:46.861353,0.029652543142686,0.008655762079692,0.7513428,0.01152039,0.020996781062993998,0.9017334,0.02328491
2019-03-25_12:29:47.259674,0.029113161693921003,0.008724547513032,0.7513428,0.01161194,0.020388614180889,0.9016113,0.02261353
2019-03-25_12:29:47.627848,0.029806464549942,0.008895069088974,0.7512207,0.01184082,0.020911395460968,0.9016113,0.02319336
2019-03-25_12:29:48.025152,0.029328311039524,0.008634232861576,0.7514648,0.01148987,0.020694078177948,0.9017334,0.02294922
2019-03-25_12:29:48.394614,0.029710173117981,0.008826294833889,0.7512207,0.01174927,0.020883878284092,0.9016113,0.02316284
2019-03-25_12:29:48.771058,0.030007396342845,0.009206060573268,0.7513428,0.01225281,0.020801335769577,0.9016113,0.02307129
2019-03-25_12:29:49.150052,0.029703815510664,0.00887214183321,0.7512207,0.0118103,0.020831673677454,0.9017334,0.02310181
2019-03-25_12:29:49.528616,0.029364997615528,0.008450770245304001,0.7514648,0.01124573,0.020914227370224,0.9017334,0.02319336
2019-03-25_12:29:49.954291,0.029234676348486,0.008598434624052,0.7513428,0.01144409,0.020636241724434002,0.9016113,0.02288818
2019-03-25_12:29:50.315157,0.02953869910779,0.00887214183321,0.7512207,0.0118103,0.02066655727458,0.9017334,0.0229187
2019-03-25_12:29:50.696332,0.029185634530076998,0.008574110044898999,0.7512207,0.01141357,0.020611524485178,0.9017334,0.02285767
2019-03-25_12:29:51.065780,0.028700435578865997,0.008449398266244,0.7513428,0.01124573,0.020251037312621997,0.9016113,0.02246094
2019-03-25_12:29:51.452595,0.029806152302207997,0.008919445835352,0.7513428,0.01187134,0.020886706466856,0.9017334,0.02316284
2019-03-25_12:29:51.821585,0.029839404079728,0.00892800861876,0.7510986,0.0118866,0.020911395460968,0.9016113,0.02319336
2019-03-25_12:29:52.205250,0.029454800257635,0.00887358387084,0.7513428,0.0118103,0.020581216386795,0.9016113,0.02282715
2019-03-25_12:29:52.610644,0.028623718967246997,0.008837758461771,0.7512207,0.01176453,0.019785960505476,0.9017334,0.02194214
2019-03-25_12:29:52.958812,0.029660624515128,0.008721711877283999,0.7510986,0.01161194,0.020938912637844,0.9016113,0.02322388
2019-03-25_12:29:53.324516,0.029570023688711998,0.008380605319475999,0.7513428,0.01115417,0.021189418369235997,0.9017334,0.02349854
2019-03-25_12:29:53.718306,0.029210917072773,0.008379243395319,0.7512207,0.01115417,0.020831673677454,0.9017334,0.02310181
2019-03-25_12:29:54.073305,0.029181947127261,0.008793332946372,0.7513428,0.01170349,0.020388614180889,0.9016113,0.02261353
2019-03-25_12:29:54.490908,0.029384624152793998,0.008528263045578,0.7512207,0.01135254,0.020856361107216,0.9016113,0.02313232
2019-03-25_12:29:54.861364,0.029964425869956,0.00860990011518,0.7513428,0.01145935,0.021354525754776,0.9017334,0.02368164
2019-03-25_12:29:55.213616,0.030161626960578003,0.008724547513032,0.7513428,0.01161194,0.021437079447546,0.9017334,0.02377319
2019-03-25_12:29:55.598474,0.029964967701006,0.008827729419755998,0.7513428,0.01174927,0.02113723828125,0.9018555,0.0234375
2019-03-25_12:29:55.948493,0.029782276750536005,0.008975306971941,0.7512207,0.01194763,0.020806969778595003,0.9018555,0.02307129
2019-03-25_12:29:56.317224,0.029119136607665998,0.008562653929224,0.7512207,0.01139832,0.020556482678441998,0.9017334,0.02279663
2019-03-25_12:29:56.680980,0.029891034900012,0.008701616530776,0.7513428,0.01158142,0.021189418369235997,0.9017334,0.02349854
2019-03-25_12:29:57.066945,0.029865231768117,0.009091413175415999,0.7513428,0.01210022,0.020773818592701,0.9016113,0.02304077
2019-03-25_12:29:57.431398,0.030329793249588,0.009112862994317999,0.7512207,0.01213074,0.02121693025527,0.9017334,0.02352905
2019-03-25_12:29:57.803079,0.029967008861847,0.008642891812191,0.7512207,0.01150513,0.021324117049656,0.9016113,0.02365112
2019-03-25_12:29:58.158390,0.029225512975359004,0.008644296588564,0.7513428,0.01150513,0.020581216386795,0.9016113,0.02282715
2019-03-25_12:29:58.512925,0.029457570333251998,0.009011162250948,0.7513428,0.01199341,0.020446408082304,0.9017334,0.02267456
2019-03-25_12:29:58.897247,0.029130639712677,0.008436561534729,0.7512207,0.01123047,0.020694078177948,0.9017334,0.02294922
2019-03-25_12:29:59.264208,0.028993044213170997,0.008436561534729,0.7512207,0.01123047,0.020556482678441998,0.9017334,0.02279663
2019-03-25_12:29:59.615787,0.029411231395011,0.008885049361968,0.7513428,0.01182556,0.020526182033043,0.9016113,0.02276611
2019-03-25_12:29:59.987434,0.029579540006361003,0.008448025162611,0.7512207,0.01124573,0.02113151484375,0.9016113,0.0234375
2019-03-25_12:30:00.361958,0.029271362936696996,0.008965300286435999,0.7513428,0.01193237,0.020306062650260998,0.9016113,0.02252197
2019-03-25_12:30:00.741095,0.02859820196805,0.008264622140913,0.7512207,0.01100159,0.020333579827137002,0.9016113,0.02255249
2019-03-25_12:30:01.133113,0.028844879703846003,0.008208637979412,0.7513428,0.01092529,0.020636241724434002,0.9016113,0.02288818
2019-03-25_12:30:01.501306,0.029380539151659,0.008631428184308999,0.7512207,0.01148987,0.02074911096735,0.9017334,0.02301025
2019-03-25_12:30:01.883463,0.029516709381528,0.008632831097435999,0.7513428,0.01148987,0.020883878284092,0.9016113,0.02316284
2019-03-25_12:30:02.256215,0.029807916352272,0.009309242479992,0.7513428,0.01239014,0.02049867387228,0.9016113,0.0227356
2019-03-25_12:30:02.620291,0.03007476392169,0.008723129695157998,0.7512207,0.01161194,0.021351634226532,0.9016113,0.02368164
2019-03-25_12:30:03.002798,0.029345122218732998,0.008849222089652999,0.7512207,0.01177979,0.02049590012908,0.9014893,0.0227356
2019-03-25_12:30:03.384722,0.029416392548045997,0.008807658984375,0.7515869,0.01171875,0.020608733563671,0.9016113,0.02285767
2019-03-25_12:30:03.751966,0.02964018924531,0.008863557374592,0.7514648,0.01179504,0.020776631870717998,0.9017334,0.02304077
2019-03-25_12:30:04.117909,0.029497085067605996,0.008827729419755998,0.7513428,0.01174927,0.02066935564785,0.9018555,0.0229187
2019-03-25_12:30:04.484768,0.029459016366520003,0.008599830803032001,0.7514648,0.01144409,0.020859185563488,0.9017334,0.02313232
2019-03-25_12:30:04.854240,0.029587095186596,0.008670035907116,0.7515869,0.01153564,0.02091705927948,0.9018555,0.02319336
2019-03-25_12:30:05.242433,0.029027380309658,0.008336104231472,0.7514648,0.01109314,0.020691276078186,0.9016113,0.02294922
2019-03-25_12:30:05.615890,0.029303936540904,0.008885049361968,0.7513428,0.01182556,0.020418887178936,0.9017334,0.02264404
2019-03-25_12:30:05.959844,0.02989702501359,0.00868009475832,0.7514648,0.0115509,0.02121693025527,0.9017334,0.02352905
2019-03-25_12:30:06.314261,0.029589747873602003,0.008978223388424002,0.7514648,0.01194763,0.020611524485178,0.9017334,0.02285767
2019-03-25_12:30:06.669499,0.030050174023694996,0.008585573672780998,0.7512207,0.01142883,0.021464600350914,0.9017334,0.02380371
2019-03-25_12:30:07.020506,0.029476582797246,0.008311819886136,0.7513428,0.01106262,0.02116476291111,0.9018555,0.02346802
2019-03-25_12:30:07.373833,0.029744018898344,0.009193100877284999,0.7512207,0.01223755,0.020550918021059,0.9014893,0.02279663
