Time,Total Power (W),P_VDD,V_VDD,I_VDD,P_VDDM,V_VDDM,I_VDDM
2018-11-25_23:01:25.564409,0.032338532444973,0.009525516037035,0.7512207,0.01268005,0.022813016407938,0.9017334,0.02529907
2018-11-25_23:01:25.975990,0.031721666075267996,0.009400958895587999,0.7513428,0.01251221,0.02232070717968,0.9018555,0.02474976
2018-11-25_23:01:26.377519,0.032301143773308005,0.009540078590088,0.7514648,0.01269531,0.022761065183220002,0.9018555,0.02523804
2018-11-25_23:01:26.749454,0.032189426429901,0.009813679009056,0.7513428,0.01306152,0.022375747420845,0.9018555,0.02481079
2018-11-25_23:01:27.135699,0.032150418849411,0.009777700826024999,0.7512207,0.01301575,0.022372718023386,0.9017334,0.02481079
2018-11-25_23:01:27.532365,0.032903483503914,0.009674535687294,0.7512207,0.01287842,0.02322894781662,0.9018555,0.02575684
2018-11-25_23:01:27.900402,0.032034219490962,0.009661501467576,0.7510986,0.01286316,0.022372718023386,0.9017334,0.02481079
2018-11-25_23:01:28.294373,0.032142812614770006,0.009962722880292,0.7513428,0.01325989,0.022180089734478003,0.9017334,0.02459717
2018-11-25_23:01:28.648299,0.032474517875514,0.009661501467576,0.7510986,0.01286316,0.022813016407938,0.9017334,0.02529907
2018-11-25_23:01:29.029999,0.032121932338475996,0.010018414474926,0.7512207,0.01333618,0.02210351786355,0.9019775,0.02450562
2018-11-25_23:01:29.412564,0.031688853192792,0.009206060573268,0.7513428,0.01225281,0.022482792619524003,0.9017334,0.02493286
2018-11-25_23:01:29.800423,0.03208316527143,0.010123224729228,0.7513428,0.01347351,0.021959940542202003,0.9017334,0.02435303
2018-11-25_23:01:30.227710,0.032141918998413004,0.009903785708313,0.7512207,0.01318359,0.022238133290100003,0.9018555,0.0246582
2018-11-25_23:01:30.615518,0.03186079590003,0.009515598780012,0.7513428,0.01266479,0.022345197120018,0.9017334,0.02478027
2018-11-25_23:01:31.012511,0.031872261391158,0.00952706427114,0.7513428,0.01268005,0.022345197120018,0.9017334,0.02478027
2018-11-25_23:01:31.392614,0.031354731060009,0.009559906920681,0.7512207,0.01272583,0.021794824139328,0.9017334,0.02416992
2018-11-25_23:01:31.775880,0.031477866723342005,0.009297776988864,0.7513428,0.01237488,0.022180089734478003,0.9017334,0.02459717
2018-11-25_23:01:32.285901,0.031891285125885,0.009766237198142999,0.7512207,0.01300049,0.022125047927742,0.9017334,0.02453613
2018-11-25_23:01:32.683543,0.032111525202627,0.009515598780012,0.7513428,0.01266479,0.022595926422615,0.9018555,0.02505493
2018-11-25_23:01:33.106309,0.032421149937501004,0.009549995253395999,0.7513428,0.01271057,0.022871154684105003,0.9018555,0.02536011
2018-11-25_23:01:33.516126,0.032904892764225,0.009789164453907,0.7512207,0.01303101,0.023115728310318003,0.9017334,0.02563477
2018-11-25_23:01:33.897549,0.031780512240672,0.009710497102332,0.7513428,0.01292419,0.02207001513834,0.9017334,0.0244751
