Timestamp,Power
,
2018-09-18_20:18:36,5.4
2018-09-18_20:18:36,4.8
2018-09-18_20:18:36,4.8
2018-09-18_20:18:36,5.2
2018-09-18_20:18:36,6
2018-09-18_20:18:36,4.5
2018-09-18_20:18:36,5
2018-09-18_20:18:36,5
2018-09-18_20:18:36,5.2
2018-09-18_20:18:36,5.6
2018-09-18_20:18:36,5.8
2018-09-18_20:18:36,5.2
2018-09-18_20:18:36,4.6
2018-09-18_20:18:36,5
2018-09-18_20:18:36,5
2018-09-18_20:18:36,5.2
2018-09-18_20:18:36,5.9
2018-09-18_20:18:36,5.1
2018-09-18_20:18:36,5.9
2018-09-18_20:18:36,4.9
2018-09-18_20:18:36,5.7
2018-09-18_20:18:36,5.3
2018-09-18_20:18:36,5.6
2018-09-18_20:18:36,5.1
2018-09-18_20:18:36,5.2
2018-09-18_20:18:36,5.8
2018-09-18_20:18:36,5.4
2018-09-18_20:18:36,4.9
2018-09-18_20:18:36,5.7
2018-09-18_20:18:36,4.5
2018-09-18_20:18:36,4.4
2018-09-18_20:18:36,5.2
2018-09-18_20:18:36,5.7
2018-09-18_20:18:36,5.2
2018-09-18_20:18:36,4.9
2018-09-18_20:18:36,5.3
2018-09-18_20:18:36,4.7
2018-09-18_20:18:36,4.8
2018-09-18_20:18:36,4.8
2018-09-18_20:18:36,5.1
2018-09-18_20:18:36,5.5
2018-09-18_20:18:36,5.4
2018-09-18_20:18:36,5.1
2018-09-18_20:18:36,5
2018-09-18_20:18:36,5.5
2018-09-18_20:18:36,5.4
2018-09-18_20:18:36,5.6
2018-09-18_20:18:36,6
2018-09-18_20:18:36,4.6
2018-09-18_20:18:36,5
2018-09-18_20:18:36,4.7
2018-09-18_20:18:36,5.5
2018-09-18_20:18:36,4.6
2018-09-18_20:18:36,4.9
2018-09-18_20:18:36,5.8
2018-09-18_20:18:36,5.1
2018-09-18_20:18:36,5.2
2018-09-18_20:18:36,5.3
2018-09-18_20:18:36,4.9
2018-09-18_20:33:36,5.4
