Time,Top Freq,Cur Freq,Perf Lost,Utilization,Cur Temp,Max Temp,Cur Power,Max Power,Fan
2018-11-23_15:29:15,2800 MHz,2253.0 MHz,0 (N/A) run sudo,7.8 %,46.0 C,46.0 C,28.6 W,29.0 W,1039.0 RPM
2018-11-23_15:29:15,2800 MHz,2208.0 MHz,0 (N/A) run sudo,8.5 %,46.0 C,46.0 C,29.5 W,30.0 W,1039.0 RPM
2018-11-23_15:29:16,2800 MHz,2102.0 MHz,0 (N/A) run sudo,4.6 %,46.0 C,46.0 C,20.3 W,30.0 W,1043.0 RPM
2018-11-23_15:29:16,2800 MHz,2091.0 MHz,0 (N/A) run sudo,4.2 %,47.0 C,47.0 C,20.1 W,30.0 W,1045.0 RPM
2018-11-23_15:29:16,2800 MHz,2090.0 MHz,0 (N/A) run sudo,4.0 %,47.0 C,47.0 C,20.1 W,30.0 W,1046.0 RPM
2018-11-23_15:29:16,2800 MHz,2088.0 MHz,0 (N/A) run sudo,4.0 %,47.0 C,47.0 C,20.2 W,30.0 W,1046.0 RPM
2018-11-23_15:29:17,2800 MHz,2090.0 MHz,0 (N/A) run sudo,4.5 %,47.0 C,47.0 C,20.4 W,30.0 W,1041.0 RPM
2018-11-23_15:29:17,2800 MHz,2067.0 MHz,0 (N/A) run sudo,3.8 %,47.0 C,47.0 C,20.3 W,30.0 W,1008.0 RPM
2018-11-23_15:29:17,2800 MHz,2099.0 MHz,0 (N/A) run sudo,4.0 %,46.0 C,47.0 C,19.9 W,30.0 W,978.0 RPM
2018-11-23_15:29:17,2800 MHz,2073.0 MHz,0 (N/A) run sudo,4.7 %,46.0 C,47.0 C,20.2 W,30.0 W,970.0 RPM
2018-11-23_15:29:17,2800 MHz,2033.0 MHz,0 (N/A) run sudo,4.5 %,46.0 C,47.0 C,20.2 W,30.0 W,959.0 RPM
2018-11-23_15:29:18,2800 MHz,2018.0 MHz,0 (N/A) run sudo,4.3 %,46.0 C,47.0 C,19.8 W,30.0 W,953.0 RPM
2018-11-23_15:29:18,2800 MHz,1992.0 MHz,0 (N/A) run sudo,4.5 %,46.0 C,47.0 C,20.1 W,30.0 W,950.0 RPM
2018-11-23_15:29:18,2800 MHz,1830.0 MHz,0 (N/A) run sudo,4.3 %,46.0 C,47.0 C,19.4 W,30.0 W,947.0 RPM
2018-11-23_15:29:18,2800 MHz,1846.0 MHz,0 (N/A) run sudo,5.0 %,46.0 C,47.0 C,19.7 W,30.0 W,945.0 RPM
2018-11-23_15:29:19,2800 MHz,1934.0 MHz,0 (N/A) run sudo,4.1 %,46.0 C,47.0 C,20.3 W,30.0 W,958.0 RPM
2018-11-23_15:29:19,2800 MHz,1910.0 MHz,0 (N/A) run sudo,4.3 %,46.0 C,47.0 C,19.9 W,30.0 W,1002.0 RPM
2018-11-23_15:29:19,2800 MHz,1946.0 MHz,0 (N/A) run sudo,4.5 %,46.0 C,47.0 C,20.4 W,30.0 W,1023.0 RPM
2018-11-23_15:29:19,2800 MHz,1910.0 MHz,0 (N/A) run sudo,5.1 %,47.0 C,47.0 C,20.1 W,30.0 W,1034.0 RPM
2018-11-23_15:29:19,2800 MHz,1946.0 MHz,0 (N/A) run sudo,4.7 %,47.0 C,47.0 C,20.0 W,30.0 W,1039.0 RPM
2018-11-23_15:29:20,2800 MHz,1944.0 MHz,0 (N/A) run sudo,4.3 %,47.0 C,47.0 C,20.3 W,30.0 W,1043.0 RPM
2018-11-23_15:29:20,2800 MHz,1857.0 MHz,0 (N/A) run sudo,4.3 %,47.0 C,47.0 C,19.6 W,30.0 W,1046.0 RPM
2018-11-23_15:29:20,2800 MHz,1889.0 MHz,0 (N/A) run sudo,7.6 %,47.0 C,47.0 C,21.5 W,30.0 W,1049.0 RPM
2018-11-23_15:29:20,2800 MHz,2151.0 MHz,0 (N/A) run sudo,8.5 %,46.0 C,47.0 C,20.2 W,30.0 W,1050.0 RPM
2018-11-23_15:29:21,2800 MHz,2029.0 MHz,0 (N/A) run sudo,8.8 %,46.0 C,47.0 C,20.1 W,30.0 W,1032.0 RPM
2018-11-23_15:29:21,2800 MHz,2052.0 MHz,0 (N/A) run sudo,10.0 %,46.0 C,47.0 C,20.2 W,30.0 W,1002.0 RPM
2018-11-23_15:29:21,2800 MHz,2242.0 MHz,0 (N/A) run sudo,7.8 %,46.0 C,47.0 C,25.0 W,30.0 W,985.0 RPM
2018-11-23_15:29:21,2800 MHz,2159.0 MHz,0 (N/A) run sudo,7.4 %,46.0 C,47.0 C,28.7 W,30.0 W,971.0 RPM
2018-11-23_15:29:21,2800 MHz,2168.0 MHz,0 (N/A) run sudo,7.4 %,46.0 C,47.0 C,28.8 W,30.0 W,961.0 RPM
2018-11-23_15:29:22,2800 MHz,2112.0 MHz,0 (N/A) run sudo,8.1 %,46.0 C,47.0 C,28.5 W,30.0 W,954.0 RPM
2018-11-23_15:29:22,2800 MHz,2175.0 MHz,0 (N/A) run sudo,7.4 %,46.0 C,47.0 C,28.7 W,30.0 W,951.0 RPM
2018-11-23_15:29:22,2800 MHz,2184.0 MHz,0 (N/A) run sudo,7.4 %,46.0 C,47.0 C,28.7 W,30.0 W,949.0 RPM
2018-11-23_15:29:22,2800 MHz,2176.0 MHz,0 (N/A) run sudo,7.4 %,46.0 C,47.0 C,28.7 W,30.0 W,947.0 RPM
2018-11-23_15:29:22,2800 MHz,2170.0 MHz,0 (N/A) run sudo,7.4 %,48.0 C,48.0 C,28.6 W,30.0 W,963.0 RPM
2018-11-23_15:29:23,2800 MHz,2179.0 MHz,0 (N/A) run sudo,7.2 %,48.0 C,48.0 C,28.8 W,30.0 W,1004.0 RPM
2018-11-23_15:29:23,2800 MHz,2163.0 MHz,0 (N/A) run sudo,7.4 %,48.0 C,48.0 C,28.8 W,30.0 W,1021.0 RPM
2018-11-23_15:29:23,2800 MHz,2121.0 MHz,0 (N/A) run sudo,7.6 %,48.0 C,48.0 C,28.7 W,30.0 W,1035.0 RPM
2018-11-23_15:29:23,2800 MHz,2050.0 MHz,0 (N/A) run sudo,7.2 %,48.0 C,48.0 C,29.0 W,30.0 W,1041.0 RPM
2018-11-23_15:29:24,2800 MHz,2128.0 MHz,0 (N/A) run sudo,7.5 %,48.0 C,48.0 C,28.8 W,30.0 W,1043.0 RPM
2018-11-23_15:29:24,2800 MHz,1974.0 MHz,0 (N/A) run sudo,9.1 %,48.0 C,48.0 C,27.4 W,30.0 W,1045.0 RPM
2018-11-23_15:29:24,2800 MHz,1943.0 MHz,0 (N/A) run sudo,8.8 %,48.0 C,48.0 C,20.7 W,30.0 W,1045.0 RPM
2018-11-23_15:29:24,2800 MHz,2010.0 MHz,0 (N/A) run sudo,8.5 %,48.0 C,48.0 C,21.9 W,30.0 W,1045.0 RPM
2018-11-23_15:29:24,2800 MHz,2041.0 MHz,0 (N/A) run sudo,9.2 %,48.0 C,48.0 C,22.2 W,30.0 W,1024.0 RPM
2018-11-23_15:29:25,2800 MHz,1950.0 MHz,0 (N/A) run sudo,9.7 %,46.0 C,48.0 C,20.7 W,30.0 W,1001.0 RPM
2018-11-23_15:29:25,2800 MHz,1877.0 MHz,0 (N/A) run sudo,9.2 %,46.0 C,48.0 C,20.8 W,30.0 W,983.0 RPM
2018-11-23_15:29:25,2800 MHz,1979.0 MHz,0 (N/A) run sudo,8.8 %,46.0 C,48.0 C,21.4 W,30.0 W,967.0 RPM
2018-11-23_15:29:25,2800 MHz,2181.0 MHz,0 (N/A) run sudo,8.6 %,46.0 C,48.0 C,27.9 W,30.0 W,959.0 RPM
2018-11-23_15:29:26,2800 MHz,2089.0 MHz,0 (N/A) run sudo,8.1 %,46.0 C,48.0 C,28.9 W,30.0 W,953.0 RPM
