timestamp, power.draw [W]
2018/09/16 13:09:48.262, 40.84 W
2018/09/16 13:09:48.462, 40.55 W
2018/09/16 13:09:48.666, 40.46 W
2018/09/16 13:09:48.866, 40.55 W
2018/09/16 13:09:49.067, 40.65 W
2018/09/16 13:09:49.267, 40.46 W
2018/09/16 13:09:49.468, 40.55 W
2018/09/16 13:09:49.671, 40.94 W
2018/09/16 13:09:49.871, 40.45 W
2018/09/16 13:09:50.072, 40.45 W
2018/09/16 13:09:50.273, 40.74 W
2018/09/16 13:09:50.473, 40.65 W
2018/09/16 13:09:50.676, 40.46 W
2018/09/16 13:09:50.876, 40.36 W
2018/09/16 13:09:51.077, 40.55 W
2018/09/16 13:09:51.278, 40.55 W
2018/09/16 13:09:51.478, 40.94 W
2018/09/16 13:09:51.682, 40.36 W
2018/09/16 13:09:51.883, 40.74 W
2018/09/16 13:09:52.083, 41.13 W
2018/09/16 13:09:52.284, 41.22 W
2018/09/16 13:09:52.484, 41.32 W
2018/09/16 13:09:52.687, 41.13 W
2018/09/16 13:09:52.888, 41.13 W
2018/09/16 13:09:53.089, 40.45 W
2018/09/16 13:09:53.289, 40.84 W
2018/09/16 13:09:53.490, 41.03 W
2018/09/16 13:09:53.693, 41.32 W
2018/09/16 13:09:53.894, 41.13 W
2018/09/16 13:09:54.094, 40.45 W
2018/09/16 13:09:54.295, 40.74 W
2018/09/16 13:09:54.495, 40.65 W
2018/09/16 13:09:54.696, 40.55 W
2018/09/16 13:09:54.899, 41.13 W
2018/09/16 13:09:55.099, 41.13 W
2018/09/16 13:09:55.300, 41.32 W
2018/09/16 13:09:55.500, 41.13 W
2018/09/16 13:09:55.701, 41.32 W
2018/09/16 13:09:55.904, 41.22 W
2018/09/16 13:09:56.105, 41.22 W
2018/09/16 13:09:56.306, 41.22 W
2018/09/16 13:09:56.506, 41.13 W
2018/09/16 13:09:56.707, 41.22 W
2018/09/16 13:09:56.907, 41.13 W
2018/09/16 13:09:57.110, 41.13 W
2018/09/16 13:09:57.311, 41.13 W
2018/09/16 13:09:57.511, 41.32 W
2018/09/16 13:09:57.712, 41.22 W
2018/09/16 13:09:57.913, 41.22 W
2018/09/16 13:09:58.115, 41.22 W
2018/09/16 13:09:58.316, 41.32 W
2018/09/16 13:09:58.517, 41.32 W
2018/09/16 13:09:58.717, 41.13 W
2018/09/16 13:09:58.918, 41.03 W
2018/09/16 13:09:59.122, 41.22 W
2018/09/16 13:09:59.322, 41.22 W
2018/09/16 13:09:59.523, 41.22 W
2018/09/16 13:09:59.724, 41.03 W
2018/09/16 13:09:59.924, 41.32 W
2018/09/16 13:10:00.127, 41.13 W
2018/09/16 13:10:00.328, 40.45 W
2018/09/16 13:10:00.529, 40.07 W
2018/09/16 13:10:00.729, 40.17 W
2018/09/16 13:10:00.930, 40.17 W
2018/09/16 13:10:01.132, 41.42 W
2018/09/16 13:10:01.333, 41.13 W
2018/09/16 13:10:01.534, 41.13 W
2018/09/16 13:10:01.734, 40.94 W
2018/09/16 13:10:01.935, 41.03 W
2018/09/16 13:10:02.138, 40.36 W
2018/09/16 13:10:02.339, 40.46 W
2018/09/16 13:10:02.539, 40.46 W
2018/09/16 13:10:02.740, 40.55 W
2018/09/16 13:10:02.941, 40.55 W
2018/09/16 13:10:03.144, 40.07 W
2018/09/16 13:10:03.344, 40.17 W
2018/09/16 13:10:03.545, 40.17 W
2018/09/16 13:10:03.746, 40.17 W
2018/09/16 13:10:03.946, 40.36 W
2018/09/16 13:10:04.149, 40.17 W
2018/09/16 13:10:04.350, 40.36 W
2018/09/16 13:10:04.550, 40.36 W
2018/09/16 13:10:04.751, 40.07 W
2018/09/16 13:10:04.951, 40.26 W
2018/09/16 13:10:05.155, 40.26 W
2018/09/16 13:10:05.355, 40.26 W
2018/09/16 13:10:05.556, 40.17 W
2018/09/16 13:10:05.756, 39.97 W
2018/09/16 13:10:05.957, 40.26 W
2018/09/16 13:10:06.161, 40.26 W
2018/09/16 13:10:06.361, 40.26 W
2018/09/16 13:10:06.562, 40.17 W
2018/09/16 13:10:06.762, 40.07 W
2018/09/16 13:10:06.963, 40.26 W
2018/09/16 13:10:07.166, 40.17 W
2018/09/16 13:10:07.367, 40.07 W
2018/09/16 13:10:07.567, 40.36 W
2018/09/16 13:10:07.768, 40.26 W
2018/09/16 13:10:07.969, 39.97 W
2018/09/16 13:10:08.172, 40.36 W
2018/09/16 13:10:08.373, 40.17 W
2018/09/16 13:10:08.573, 40.17 W
2018/09/16 13:10:08.774, 40.36 W
2018/09/16 13:10:08.974, 40.26 W
2018/09/16 13:10:09.178, 40.26 W
2018/09/16 13:10:09.378, 40.46 W
2018/09/16 13:10:09.579, 40.07 W
2018/09/16 13:10:09.780, 40.17 W
2018/09/16 13:10:09.980, 40.94 W
2018/09/16 13:10:10.183, 41.03 W
2018/09/16 13:10:10.384, 40.94 W
2018/09/16 13:10:10.584, 40.55 W
2018/09/16 13:10:10.785, 40.46 W
2018/09/16 13:10:10.985, 40.84 W
2018/09/16 13:10:11.190, 40.46 W
2018/09/16 13:10:11.390, 40.65 W
2018/09/16 13:10:11.591, 40.55 W
2018/09/16 13:10:11.791, 40.36 W
2018/09/16 13:10:11.992, 40.36 W
2018/09/16 13:10:12.195, 40.26 W
2018/09/16 13:10:12.395, 40.55 W
2018/09/16 13:10:12.596, 40.55 W
2018/09/16 13:10:12.797, 40.74 W
2018/09/16 13:10:12.997, 40.65 W
2018/09/16 13:10:13.201, 40.55 W
2018/09/16 13:10:13.402, 40.46 W
2018/09/16 13:10:13.602, 40.46 W
2018/09/16 13:10:13.803, 40.36 W
2018/09/16 13:10:14.004, 40.55 W
2018/09/16 13:10:14.206, 40.26 W
2018/09/16 13:10:14.407, 40.17 W
2018/09/16 13:10:14.607, 40.17 W
2018/09/16 13:10:14.808, 40.26 W
2018/09/16 13:10:15.009, 40.26 W
2018/09/16 13:10:15.212, 40.26 W
2018/09/16 13:10:15.413, 40.26 W
2018/09/16 13:10:15.613, 40.17 W
2018/09/16 13:10:15.814, 40.55 W
2018/09/16 13:10:16.014, 40.26 W
2018/09/16 13:10:16.217, 40.36 W
2018/09/16 13:10:16.418, 40.36 W
2018/09/16 13:10:16.619, 40.36 W
2018/09/16 13:10:16.819, 40.26 W
2018/09/16 13:10:17.020, 40.65 W
2018/09/16 13:10:17.223, 40.46 W
2018/09/16 13:10:17.423, 40.65 W
2018/09/16 13:10:17.624, 40.84 W
2018/09/16 13:10:17.824, 40.65 W
2018/09/16 13:10:18.025, 40.36 W
2018/09/16 13:10:18.228, 40.74 W
2018/09/16 13:10:18.429, 40.65 W
2018/09/16 13:10:18.629, 40.65 W
2018/09/16 13:10:18.830, 40.46 W
2018/09/16 13:10:19.031, 40.65 W
2018/09/16 13:10:19.234, 40.55 W
2018/09/16 13:10:19.435, 40.55 W
