Time,,,,,,,Power,Volts,Amps
,,,,,,,,,
2018-10-30_14:34:47,,,,,,,0.6461,4.97,0.13
2018-10-30_14:34:47,,,,,,,0.6461,4.97,0.13
2018-10-30_14:34:47,,,,,,,0.5964,4.97,0.12
2018-10-30_14:34:47,,,,,,,0.6461,4.97,0.13
2018-10-30_14:34:47,,,,,,,0.5964,4.97,0.12
2018-10-30_14:34:47,,,,,,,0.6461,4.97,0.13
2018-10-30_14:34:47,,,,,,,0.6461,4.97,0.13
2018-10-30_14:34:47,,,,,,,0.6461,4.97,0.13
2018-10-30_14:34:47,,,,,,,0.5964,4.97,0.12
2018-10-30_14:34:47,,,,,,,0.6461,4.97,0.13
2018-10-30_14:34:47,,,,,,,0.6461,4.97,0.13
2018-10-30_14:34:47,,,,,,,0.6461,4.97,0.13
2018-10-30_14:34:47,,,,,,,0.6448,4.96,0.13
2018-10-30_14:34:47,,,,,,,0.5964,4.97,0.12
2018-10-30_14:34:47,,,,,,,0.6461,4.97,0.13
2018-10-30_14:34:47,,,,,,,0.5964,4.97,0.12
2018-10-30_14:34:47,,,,,,,0.6461,4.97,0.13
2018-10-30_14:34:47,,,,,,,0.5964,4.97,0.12
2018-10-30_14:34:47,,,,,,,0.6461,4.97,0.13
2018-10-30_14:34:47,,,,,,,0.6461,4.97,0.13
2018-10-30_14:34:47,,,,,,,0.6461,4.97,0.13
2018-10-30_14:34:47,,,,,,,0.5964,4.97,0.12
2018-10-30_14:34:47,,,,,,,0.5964,4.97,0.12
2018-10-30_14:34:47,,,,,,,0.6958,4.97,0.14
2018-10-30_14:34:47,,,,,,,0.6461,4.97,0.13
2018-10-30_14:34:47,,,,,,,0.5964,4.97,0.12
2018-10-30_14:34:47,,,,,,,0.6461,4.97,0.13
2018-10-30_14:34:47,,,,,,,0.5964,4.97,0.12
2018-10-30_14:34:47,,,,,,,0.6461,4.97,0.13
2018-10-30_14:34:47,,,,,,,0.6461,4.97,0.13
2018-10-30_14:34:47,,,,,,,0.6461,4.97,0.13
2018-10-30_14:34:47,,,,,,,0.5964,4.97,0.12
2018-10-30_14:34:47,,,,,,,0.6958,4.97,0.14
2018-10-30_14:34:47,,,,,,,0.6448,4.96,0.13
2018-10-30_14:34:47,,,,,,,0.6461,4.97,0.13
2018-10-30_14:34:47,,,,,,,0.6461,4.97,0.13
2018-10-30_14:34:47,,,,,,,0.6461,4.97,0.13
2018-10-30_14:34:47,,,,,,,0.6461,4.97,0.13
2018-10-30_14:34:47,,,,,,,0.5964,4.97,0.12
2018-10-30_14:34:47,,,,,,,0.6461,4.97,0.13
2018-10-30_14:34:47,,,,,,,0.6461,4.97,0.13
2018-10-30_14:34:47,,,,,,,0.6461,4.97,0.13
2018-10-30_14:34:47,,,,,,,0.5964,4.97,0.12
2018-10-30_14:34:47,,,,,,,0.6461,4.97,0.13
2018-10-30_14:34:47,,,,,,,0.6461,4.97,0.13
2018-10-30_14:34:47,,,,,,,0.5964,4.97,0.12
2018-10-30_14:34:47,,,,,,,0.6461,4.97,0.13
2018-10-30_14:34:47,,,,,,,0.6461,4.97,0.13
2018-10-30_14:34:47,,,,,,,0.6958,4.97,0.14
2018-10-30_14:34:47,,,,,,,0.6461,4.97,0.13
2018-10-30_14:34:47,,,,,,,0.5964,4.97,0.12
2018-10-30_14:34:47,,,,,,,0.6461,4.97,0.13
2018-10-30_14:34:47,,,,,,,0.6461,4.97,0.13
2018-10-30_14:34:47,,,,,,,0.6461,4.97,0.13
2018-10-30_14:34:47,,,,,,,0.6461,4.97,0.13
2018-10-30_14:34:47,,,,,,,0.5964,4.97,0.12
2018-10-30_14:34:47,,,,,,,0.6461,4.97,0.13
2018-10-30_14:34:47,,,,,,,0.5976,4.98,0.12
2018-10-30_14:34:47,,,,,,,0.6461,4.97,0.13
2018-10-30_14:49:47,,,,,,,0.6461,4.97,0.13
