timestamp, power.draw [W]
2018/11/23 12:26:49.071, 39.30 W
2018/11/23 12:26:49.271, 39.59 W
2018/11/23 12:26:49.472, 39.59 W
2018/11/23 12:26:49.675, 39.68 W
2018/11/23 12:26:49.875, 39.30 W
2018/11/23 12:26:50.076, 39.88 W
2018/11/23 12:26:50.276, 39.49 W
2018/11/23 12:26:50.477, 39.40 W
2018/11/23 12:26:50.679, 39.49 W
2018/11/23 12:26:50.880, 39.88 W
2018/11/23 12:26:51.080, 39.68 W
2018/11/23 12:26:51.281, 39.59 W
2018/11/23 12:26:51.481, 39.68 W
2018/11/23 12:26:51.685, 39.88 W
2018/11/23 12:26:51.886, 39.88 W
2018/11/23 12:26:52.086, 39.59 W
2018/11/23 12:26:52.287, 39.68 W
2018/11/23 12:26:52.487, 39.49 W
2018/11/23 12:26:52.691, 39.40 W
2018/11/23 12:26:52.891, 39.40 W
2018/11/23 12:26:53.092, 39.59 W
2018/11/23 12:26:53.292, 39.59 W
2018/11/23 12:26:53.493, 39.78 W
2018/11/23 12:26:53.696, 39.59 W
2018/11/23 12:26:53.897, 39.59 W
2018/11/23 12:26:54.097, 39.69 W
2018/11/23 12:26:54.298, 39.49 W
2018/11/23 12:26:54.499, 39.40 W
2018/11/23 12:26:54.702, 39.68 W
2018/11/23 12:26:54.903, 39.78 W
2018/11/23 12:26:55.104, 39.68 W
2018/11/23 12:26:55.304, 39.49 W
2018/11/23 12:26:55.505, 39.88 W
2018/11/23 12:26:55.709, 39.78 W
2018/11/23 12:26:55.910, 39.59 W
2018/11/23 12:26:56.110, 39.59 W
2018/11/23 12:26:56.311, 39.49 W
2018/11/23 12:26:56.511, 39.59 W
2018/11/23 12:26:56.714, 39.68 W
2018/11/23 12:26:56.915, 39.59 W
2018/11/23 12:26:57.116, 39.49 W
2018/11/23 12:26:57.316, 39.49 W
2018/11/23 12:26:57.517, 39.40 W
2018/11/23 12:26:57.721, 39.68 W
2018/11/23 12:26:57.921, 39.50 W
2018/11/23 12:26:58.122, 39.40 W
2018/11/23 12:26:58.322, 39.59 W
2018/11/23 12:26:58.523, 39.59 W
2018/11/23 12:26:58.727, 39.59 W
2018/11/23 12:26:58.927, 39.68 W
2018/11/23 12:26:59.128, 39.59 W
2018/11/23 12:26:59.328, 39.49 W
2018/11/23 12:26:59.529, 39.59 W
2018/11/23 12:26:59.733, 39.78 W
2018/11/23 12:26:59.934, 39.69 W
2018/11/23 12:27:00.134, 39.78 W
2018/11/23 12:27:00.335, 39.68 W
2018/11/23 12:27:00.535, 39.78 W
2018/11/23 12:27:00.736, 39.59 W
2018/11/23 12:27:00.939, 39.49 W
2018/11/23 12:27:01.140, 39.78 W
2018/11/23 12:27:01.340, 39.88 W
2018/11/23 12:27:01.541, 39.68 W
2018/11/23 12:27:01.741, 39.59 W
2018/11/23 12:27:01.945, 39.59 W
2018/11/23 12:27:02.145, 39.59 W
2018/11/23 12:27:02.346, 39.59 W
2018/11/23 12:27:02.546, 39.68 W
2018/11/23 12:27:02.747, 39.68 W
2018/11/23 12:27:02.951, 39.49 W
2018/11/23 12:27:03.151, 39.40 W
2018/11/23 12:27:03.352, 39.59 W
2018/11/23 12:27:03.553, 39.40 W
2018/11/23 12:27:03.753, 39.40 W
2018/11/23 12:27:03.957, 39.49 W
2018/11/23 12:27:04.158, 39.78 W
2018/11/23 12:27:04.359, 39.59 W
2018/11/23 12:27:04.559, 39.49 W
2018/11/23 12:27:04.760, 39.49 W
2018/11/23 12:27:04.960, 39.68 W
2018/11/23 12:27:05.162, 39.97 W
2018/11/23 12:27:05.363, 39.68 W
2018/11/23 12:27:05.563, 39.88 W
2018/11/23 12:27:05.764, 39.97 W
