Timestamp,Power
,
2018-09-18_19:45:22,5.4
2018-09-18_19:45:22,5.9
2018-09-18_19:45:22,5.4
2018-09-18_19:45:22,5.8
2018-09-18_19:45:22,6.2
2018-09-18_19:45:22,6
2018-09-18_19:45:22,5.2
2018-09-18_19:45:22,5.9
2018-09-18_19:45:22,5.6
2018-09-18_19:45:22,5.8
2018-09-18_19:45:22,5.4
2018-09-18_19:45:22,5.7
2018-09-18_19:45:22,5.6
2018-09-18_19:45:22,6.2
2018-09-18_19:45:22,6
2018-09-18_19:45:22,6.1
2018-09-18_19:45:22,5.6
2018-09-18_19:45:22,5.9
2018-09-18_19:45:22,5.4
2018-09-18_19:45:22,5.1
2018-09-18_19:45:22,5.9
2018-09-18_19:45:22,5.6
2018-09-18_19:45:22,4.7
2018-09-18_19:45:22,6
2018-09-18_19:45:22,5.9
2018-09-18_19:45:22,6.2
2018-09-18_19:45:22,6.5
2018-09-18_19:45:22,5.9
2018-09-18_19:45:22,4.9
2018-09-18_19:45:22,5.7
2018-09-18_19:45:22,5.3
2018-09-18_19:45:22,6
2018-09-18_19:45:22,5.7
2018-09-18_19:45:22,5.8
2018-09-18_19:45:22,5.8
2018-09-18_19:45:22,5.6
2018-09-18_19:45:22,5.8
2018-09-18_19:45:22,5.9
2018-09-18_19:45:22,6.1
2018-09-18_19:45:22,6.1
2018-09-18_19:45:22,5.8
2018-09-18_19:45:22,5.5
2018-09-18_19:45:22,5.1
2018-09-18_19:45:22,5.9
2018-09-18_19:45:22,5.6
2018-09-18_19:45:22,5.7
2018-09-18_19:45:22,6.1
2018-09-18_19:45:22,5.8
2018-09-18_19:45:22,6.1
2018-09-18_19:45:22,6
2018-09-18_19:45:22,5.4
2018-09-18_19:45:22,5.5
2018-09-18_19:45:22,5.9
2018-09-18_19:45:22,5.8
2018-09-18_19:45:22,5.2
2018-09-18_19:45:22,6.1
2018-09-18_19:45:22,5.5
2018-09-18_19:45:22,5.9
2018-09-18_19:45:22,5.8
2018-09-18_20:00:22,5.6
