Time,Total Power (W),P_VDD,V_VDD,I_VDD,P_VDDM,V_VDDM,I_VDDM
2018-11-25_23:13:44.225902,0.031841744549589004,0.009502596293478001,0.7512207,0.01264954,0.022339148256111,0.9014893,0.02478027
2018-11-25_23:13:44.657817,0.032152761780739,0.00926338051548,0.7513428,0.0123291,0.022889381265259003,0.9014893,0.02539063
2018-11-25_23:13:45.053110,0.031236502663355002,0.009502596293478001,0.7512207,0.01264954,0.021733906369877,0.9014893,0.02410889
2018-11-25_23:13:45.441322,0.031311480262536995,0.009387967526865,0.7512207,0.01249695,0.021923512735671998,0.9013672,0.02432251
2018-11-25_23:13:45.842973,0.031633070653248004,0.009400958895587999,0.7513428,0.01251221,0.022232111757660003,0.9016113,0.0246582
2018-11-25_23:13:46.265151,0.032279620540428,0.009720382686614999,0.7512207,0.01293945,0.022559237853813002,0.9014893,0.02502441
2018-11-25_23:13:46.659764,0.031300599989028,0.009481209820056,0.7513428,0.01261902,0.021819390168972,0.9016113,0.02420044
2018-11-25_23:13:47.075172,0.032136746560644996,0.009549995253395999,0.7513428,0.01271057,0.022586751307249,0.9014893,0.02505493
2018-11-25_23:13:47.463142,0.031073092091074,0.009479669037714,0.7512207,0.01261902,0.02159342305336,0.9013672,0.0239563
2018-11-25_23:13:47.870934,0.031724822320528,0.009468205409832,0.7512207,0.01260376,0.022256616910696,0.9014893,0.02468872
2018-11-25_23:13:48.272166,0.031545354446516,0.010006950847044,0.7512207,0.01332092,0.021538403599472,0.9013672,0.02389526
2018-11-25_23:13:48.662237,0.031812730919323004,0.009342113015337,0.7512207,0.01243591,0.022470617903986002,0.9012451,0.02493286
2018-11-25_23:13:49.038169,0.030961778370599997,0.009329132826089999,0.7510986,0.01242065,0.02163264554451,0.9018555,0.02398682
2018-11-25_23:13:49.438524,0.031434167251005,0.009330649387455,0.7512207,0.01242065,0.02210351786355,0.9019775,0.02450562
2018-11-25_23:13:49.855208,0.031749147441063,0.009538529762268,0.7513428,0.01269531,0.022210617678795,0.9018555,0.02462769
2018-11-25_23:13:50.311452,0.031082577674694002,0.009284802388133999,0.7512207,0.01235962,0.021797775286560003,0.9018555,0.02416992
2018-11-25_23:13:50.738160,0.031746991673112,0.009435347855544,0.7513428,0.01255798,0.022311643817568002,0.9014893,0.02474976
2018-11-25_23:13:51.268149,0.03191664434855,0.009412424386716,0.7513428,0.01252747,0.022504219961834,0.9014893,0.02496338
2018-11-25_23:13:51.676530,0.03140614180974,0.009617217547884,0.7512207,0.01280212,0.021788924261856003,0.9014893,0.02416992
