Time,Total Power (W),P_VDD,V_VDD,I_VDD,P_VDDM,V_VDDM,I_VDDM
2018-11-27_14:53:01.954997,0.029345729044838002,0.008486543481349999,0.7515869,0.0112915,0.020859185563488,0.9017334,0.02313232
2018-11-27_14:53:02.335448,0.029477376817273998,0.008920894138832,0.7514648,0.01187134,0.020556482678441998,0.9017334,0.02279663
2018-11-27_14:53:02.715141,0.028321172485589997,0.00828754188447,0.7512207,0.0110321,0.020033630601119998,0.9017334,0.0222168
2018-11-27_14:53:03.102053,0.029634750190649,0.008830597416562998,0.7515869,0.01174927,0.020804152774086003,0.9017334,0.02307129
2018-11-27_14:53:03.502688,0.028728883119402002,0.008508099494896,0.7514648,0.01132202,0.020220783624506,0.9014893,0.02243042
2018-11-27_14:53:03.935379,0.028368376633705998,0.008337458703866,0.7515869,0.01109314,0.02003091792984,0.9016113,0.0222168
2018-11-27_14:53:04.321174,0.029126917263255,0.008518183699584,0.7513428,0.01133728,0.020608733563671,0.9016113,0.02285767
2018-11-27_14:53:04.719205,0.029136575164709,0.008555358777914,0.7515869,0.01138306,0.020581216386795,0.9016113,0.02282715
2018-11-27_14:53:05.101678,0.028747239077358003,0.008553968906288002,0.7514648,0.01138306,0.02019327017107,0.9014893,0.0223999
2018-11-27_14:53:05.501772,0.028890744682884,0.008392070810603999,0.7513428,0.01116943,0.02049867387228,0.9016113,0.0227356
2018-11-27_14:53:05.904429,0.029160414894619,0.008634232861576,0.7514648,0.01148987,0.020526182033043,0.9016113,0.02276611
2018-11-27_14:53:06.319802,0.028482468438034002,0.008201167741269999,0.751709,0.01091003,0.020281300696764003,0.9017334,0.02249146
2018-11-27_14:53:06.717503,0.029609370412178,0.008920894138832,0.7514648,0.01187134,0.020688476273346,0.9014893,0.02294922
2018-11-27_14:53:07.088264,0.029882420286293,0.008830597416562998,0.7515869,0.01174927,0.02105182286973,0.9017334,0.02334595
2018-11-27_14:53:07.484936,0.029401696765032,0.008955288682728,0.7514648,0.01191711,0.020446408082304,0.9017334,0.02267456
2018-11-27_14:53:07.872764,0.028954130815773,0.009115824107952,0.7514648,0.01213074,0.019838306707821,0.9016113,0.02200317
2018-11-27_14:53:08.249049,0.028614625853596,0.008198503511944,0.7514648,0.01091003,0.020416122341652,0.9016113,0.02264404
