Time,Top Freq,Cur Freq,Perf Lost,Utilization,Cur Temp,Max Temp,Cur Power,Max Power,Fan
2018-11-23_14:38:05,2800 MHz,2106.0 MHz,0 (N/A) run sudo,8.8 %,44.0 C,44.0 C,25.4 W,26.0 W,954.0 RPM
2018-11-23_14:38:05,2800 MHz,2086.0 MHz,0 (N/A) run sudo,7.0 %,44.0 C,44.0 C,33.0 W,33.0 W,954.0 RPM
2018-11-23_14:38:05,2800 MHz,2128.0 MHz,0 (N/A) run sudo,4.4 %,44.0 C,44.0 C,19.7 W,33.0 W,997.0 RPM
2018-11-23_14:38:05,2800 MHz,1801.0 MHz,0 (N/A) run sudo,4.5 %,44.0 C,44.0 C,19.8 W,33.0 W,1017.0 RPM
2018-11-23_14:38:06,2800 MHz,1903.0 MHz,0 (N/A) run sudo,4.9 %,45.0 C,45.0 C,20.2 W,33.0 W,1028.0 RPM
2018-11-23_14:38:06,2800 MHz,2098.0 MHz,0 (N/A) run sudo,4.9 %,45.0 C,45.0 C,19.4 W,33.0 W,1033.0 RPM
2018-11-23_14:38:06,2800 MHz,1868.0 MHz,0 (N/A) run sudo,4.5 %,45.0 C,45.0 C,20.0 W,33.0 W,1036.0 RPM
2018-11-23_14:38:06,2800 MHz,2033.0 MHz,0 (N/A) run sudo,5.3 %,45.0 C,45.0 C,20.3 W,33.0 W,1038.0 RPM
2018-11-23_14:38:06,2800 MHz,1988.0 MHz,0 (N/A) run sudo,4.0 %,45.0 C,45.0 C,19.9 W,33.0 W,1038.0 RPM
2018-11-23_14:38:07,2800 MHz,1926.0 MHz,0 (N/A) run sudo,5.0 %,44.0 C,45.0 C,19.7 W,33.0 W,1038.0 RPM
2018-11-23_14:38:07,2800 MHz,1956.0 MHz,0 (N/A) run sudo,4.0 %,44.0 C,45.0 C,20.3 W,33.0 W,983.0 RPM
2018-11-23_14:38:07,2800 MHz,1857.0 MHz,0 (N/A) run sudo,4.3 %,44.0 C,45.0 C,20.5 W,33.0 W,1001.0 RPM
2018-11-23_14:38:07,2800 MHz,1857.0 MHz,0 (N/A) run sudo,5.0 %,44.0 C,45.0 C,20.2 W,33.0 W,938.0 RPM
2018-11-23_14:38:08,2800 MHz,1949.0 MHz,0 (N/A) run sudo,4.9 %,44.0 C,45.0 C,20.4 W,33.0 W,961.0 RPM
2018-11-23_14:38:08,2800 MHz,2091.0 MHz,0 (N/A) run sudo,4.8 %,44.0 C,45.0 C,21.5 W,33.0 W,953.0 RPM
2018-11-23_14:38:08,2800 MHz,1859.0 MHz,0 (N/A) run sudo,4.0 %,44.0 C,45.0 C,19.8 W,33.0 W,947.0 RPM
2018-11-23_14:38:08,2800 MHz,1873.0 MHz,0 (N/A) run sudo,4.7 %,44.0 C,45.0 C,19.8 W,33.0 W,945.0 RPM
2018-11-23_14:38:08,2800 MHz,1906.0 MHz,0 (N/A) run sudo,4.7 %,44.0 C,45.0 C,19.8 W,33.0 W,944.0 RPM
2018-11-23_14:38:09,2800 MHz,1884.0 MHz,0 (N/A) run sudo,4.5 %,44.0 C,45.0 C,19.5 W,33.0 W,942.0 RPM
2018-11-23_14:38:09,2800 MHz,1891.0 MHz,0 (N/A) run sudo,4.3 %,43.0 C,45.0 C,20.3 W,33.0 W,952.0 RPM
2018-11-23_14:38:09,2800 MHz,1886.0 MHz,0 (N/A) run sudo,4.3 %,43.0 C,45.0 C,19.8 W,33.0 W,996.0 RPM
2018-11-23_14:38:09,2800 MHz,1883.0 MHz,0 (N/A) run sudo,4.0 %,43.0 C,45.0 C,19.8 W,33.0 W,1063.0 RPM
2018-11-23_14:38:09,2800 MHz,1930.0 MHz,0 (N/A) run sudo,4.3 %,43.0 C,45.0 C,19.6 W,33.0 W,1028.0 RPM
2018-11-23_14:38:10,2800 MHz,1890.0 MHz,0 (N/A) run sudo,4.3 %,43.0 C,45.0 C,20.0 W,33.0 W,1033.0 RPM
2018-11-23_14:38:10,2800 MHz,1968.0 MHz,0 (N/A) run sudo,4.3 %,44.0 C,45.0 C,20.0 W,33.0 W,1036.0 RPM
2018-11-23_14:38:10,2800 MHz,1925.0 MHz,0 (N/A) run sudo,4.5 %,44.0 C,45.0 C,20.3 W,33.0 W,1037.0 RPM
2018-11-23_14:38:10,2800 MHz,1867.0 MHz,0 (N/A) run sudo,4.4 %,44.0 C,45.0 C,19.9 W,33.0 W,1038.0 RPM
2018-11-23_14:38:11,2800 MHz,1969.0 MHz,0 (N/A) run sudo,4.0 %,44.0 C,45.0 C,19.9 W,33.0 W,1038.0 RPM
2018-11-23_14:38:11,2800 MHz,1851.0 MHz,0 (N/A) run sudo,4.5 %,44.0 C,45.0 C,20.4 W,33.0 W,984.0 RPM
2018-11-23_14:38:11,2800 MHz,1716.0 MHz,0 (N/A) run sudo,4.3 %,44.0 C,45.0 C,20.8 W,33.0 W,996.0 RPM
2018-11-23_14:38:11,2800 MHz,1755.0 MHz,0 (N/A) run sudo,4.5 %,44.0 C,45.0 C,21.2 W,33.0 W,972.0 RPM
2018-11-23_14:38:11,2800 MHz,1765.0 MHz,0 (N/A) run sudo,4.2 %,44.0 C,45.0 C,21.0 W,33.0 W,958.0 RPM
2018-11-23_14:38:12,2800 MHz,1771.0 MHz,0 (N/A) run sudo,4.4 %,44.0 C,45.0 C,21.5 W,33.0 W,951.0 RPM
2018-11-23_14:38:12,2800 MHz,1830.0 MHz,0 (N/A) run sudo,4.3 %,44.0 C,45.0 C,21.2 W,33.0 W,947.0 RPM
2018-11-23_14:38:12,2800 MHz,1693.0 MHz,0 (N/A) run sudo,4.5 %,44.0 C,45.0 C,21.4 W,33.0 W,943.0 RPM
2018-11-23_14:38:12,2800 MHz,1666.0 MHz,0 (N/A) run sudo,4.3 %,44.0 C,45.0 C,20.7 W,33.0 W,942.0 RPM
2018-11-23_14:38:13,2800 MHz,1977.0 MHz,0 (N/A) run sudo,4.3 %,44.0 C,45.0 C,20.7 W,33.0 W,942.0 RPM
2018-11-23_14:38:13,2800 MHz,1979.0 MHz,0 (N/A) run sudo,4.6 %,44.0 C,45.0 C,21.4 W,33.0 W,964.0 RPM
2018-11-23_14:38:13,2800 MHz,2016.0 MHz,0 (N/A) run sudo,4.9 %,44.0 C,45.0 C,21.0 W,33.0 W,1001.0 RPM
2018-11-23_14:38:13,2800 MHz,1762.0 MHz,0 (N/A) run sudo,4.4 %,45.0 C,45.0 C,21.7 W,33.0 W,1015.0 RPM
2018-11-23_14:38:13,2800 MHz,1885.0 MHz,0 (N/A) run sudo,4.5 %,45.0 C,45.0 C,21.2 W,33.0 W,1026.0 RPM
2018-11-23_14:38:14,2800 MHz,1826.0 MHz,0 (N/A) run sudo,4.2 %,45.0 C,45.0 C,21.9 W,33.0 W,1032.0 RPM
2018-11-23_14:38:14,2800 MHz,1811.0 MHz,0 (N/A) run sudo,4.7 %,45.0 C,45.0 C,20.6 W,33.0 W,1035.0 RPM
2018-11-23_14:38:14,2800 MHz,1720.0 MHz,0 (N/A) run sudo,4.2 %,45.0 C,45.0 C,21.2 W,33.0 W,1037.0 RPM
2018-11-23_14:38:14,2800 MHz,1699.0 MHz,0 (N/A) run sudo,4.4 %,44.0 C,45.0 C,20.8 W,33.0 W,1038.0 RPM
2018-11-23_14:38:15,2800 MHz,1986.0 MHz,0 (N/A) run sudo,4.9 %,44.0 C,45.0 C,21.2 W,33.0 W,1039.0 RPM
2018-11-23_14:38:15,2800 MHz,1762.0 MHz,0 (N/A) run sudo,4.0 %,44.0 C,45.0 C,21.8 W,33.0 W,1030.0 RPM
2018-11-23_14:38:15,2800 MHz,1757.0 MHz,0 (N/A) run sudo,4.4 %,44.0 C,45.0 C,21.0 W,33.0 W,990.0 RPM
2018-11-23_14:38:15,2800 MHz,1657.0 MHz,0 (N/A) run sudo,4.2 %,44.0 C,45.0 C,21.4 W,33.0 W,973.0 RPM
2018-11-23_14:38:15,2800 MHz,1713.0 MHz,0 (N/A) run sudo,4.6 %,45.0 C,45.0 C,21.8 W,33.0 W,962.0 RPM
2018-11-23_14:38:16,2800 MHz,1649.0 MHz,0 (N/A) run sudo,4.0 %,45.0 C,45.0 C,21.0 W,33.0 W,952.0 RPM
2018-11-23_14:38:16,2800 MHz,1668.0 MHz,0 (N/A) run sudo,4.7 %,45.0 C,45.0 C,21.0 W,33.0 W,947.0 RPM
2018-11-23_14:38:16,2800 MHz,1664.0 MHz,0 (N/A) run sudo,4.4 %,45.0 C,45.0 C,20.9 W,33.0 W,944.0 RPM
