Time,,,,,,,Power,Volts,Amps
,,,,,,,,,
2018-10-18_21:19:49,,,,,,,0.6448,4.96,0.13
2018-10-18_21:19:49,,,,,,,0.6448,4.96,0.13
2018-10-18_21:19:49,,,,,,,0.6461,4.97,0.13
2018-10-18_21:19:49,,,,,,,0.5952,4.96,0.12
2018-10-18_21:19:49,,,,,,,0.6944,4.96,0.14
2018-10-18_21:19:49,,,,,,,0.6944,4.96,0.14
2018-10-18_21:19:49,,,,,,,0.744,4.96,0.15
2018-10-18_21:19:49,,,,,,,0.6448,4.96,0.13
2018-10-18_21:19:49,,,,,,,0.6448,4.96,0.13
2018-10-18_21:19:49,,,,,,,0.6944,4.96,0.14
2018-10-18_21:19:49,,,,,,,0.6944,4.96,0.14
2018-10-18_21:19:49,,,,,,,0.6448,4.96,0.13
2018-10-18_21:19:49,,,,,,,0.6448,4.96,0.13
2018-10-18_21:19:49,,,,,,,0.6448,4.96,0.13
2018-10-18_21:19:49,,,,,,,0.6944,4.96,0.14
2018-10-18_21:19:49,,,,,,,0.6448,4.96,0.13
2018-10-18_21:19:49,,,,,,,0.6461,4.97,0.13
2018-10-18_21:19:49,,,,,,,0.744,4.96,0.15
2018-10-18_21:19:49,,,,,,,0.6448,4.96,0.13
2018-10-18_21:19:49,,,,,,,0.6448,4.96,0.13
2018-10-18_21:19:49,,,,,,,0.6448,4.96,0.13
2018-10-18_21:19:49,,,,,,,0.6944,4.96,0.14
2018-10-18_21:19:49,,,,,,,0.6461,4.97,0.13
2018-10-18_21:19:49,,,,,,,0.6944,4.96,0.14
2018-10-18_21:19:49,,,,,,,0.6944,4.96,0.14
2018-10-18_21:19:49,,,,,,,0.6944,4.96,0.14
2018-10-18_21:19:49,,,,,,,0.6448,4.96,0.13
2018-10-18_21:19:49,,,,,,,0.6448,4.96,0.13
2018-10-18_21:19:49,,,,,,,0.6958,4.97,0.14
2018-10-18_21:19:49,,,,,,,0.6944,4.96,0.14
2018-10-18_21:19:49,,,,,,,0.6944,4.96,0.14
2018-10-18_21:19:49,,,,,,,0.6448,4.96,0.13
2018-10-18_21:19:49,,,,,,,0.6448,4.96,0.13
2018-10-18_21:19:49,,,,,,,0.6944,4.96,0.14
2018-10-18_21:19:49,,,,,,,0.744,4.96,0.15
2018-10-18_21:19:49,,,,,,,0.6448,4.96,0.13
2018-10-18_21:19:49,,,,,,,0.6944,4.96,0.14
2018-10-18_21:19:49,,,,,,,0.6944,4.96,0.14
2018-10-18_21:19:49,,,,,,,0.6944,4.96,0.14
2018-10-18_21:19:49,,,,,,,0.6461,4.97,0.13
2018-10-18_21:19:49,,,,,,,0.6448,4.96,0.13
2018-10-18_21:19:49,,,,,,,0.6944,4.96,0.14
2018-10-18_21:19:49,,,,,,,0.6958,4.97,0.14
2018-10-18_21:19:49,,,,,,,0.6448,4.96,0.13
2018-10-18_21:19:49,,,,,,,0.6944,4.96,0.14
2018-10-18_21:19:49,,,,,,,0.6944,4.96,0.14
2018-10-18_21:19:49,,,,,,,0.6448,4.96,0.13
2018-10-18_21:19:49,,,,,,,0.6461,4.97,0.13
2018-10-18_21:19:49,,,,,,,0.6944,4.96,0.14
2018-10-18_21:19:49,,,,,,,0.6448,4.96,0.13
2018-10-18_21:19:49,,,,,,,0.744,4.96,0.15
2018-10-18_21:19:49,,,,,,,0.6448,4.96,0.13
2018-10-18_21:19:49,,,,,,,0.6944,4.96,0.14
2018-10-18_21:19:49,,,,,,,0.6944,4.96,0.14
2018-10-18_21:19:49,,,,,,,0.6448,4.96,0.13
2018-10-18_21:19:49,,,,,,,0.6944,4.96,0.14
2018-10-18_21:19:49,,,,,,,0.6448,4.96,0.13
2018-10-18_21:19:49,,,,,,,0.6448,4.96,0.13
2018-10-18_21:19:49,,,,,,,0.6944,4.96,0.14
2018-10-18_21:34:49,,,,,,,0.6448,4.96,0.13
