Time,Total Power (W),P_VDD,V_VDD,I_VDD,P_VDDM,V_VDDM,I_VDDM
2019-03-25_10:55:28.030209,0.029313995745038998,0.008757513066597,0.7512207,0.01165771,0.020556482678441998,0.9017334,0.02279663
2019-03-25_10:55:28.378259,0.028840299547434,0.008644296588564,0.7513428,0.01150513,0.020196002958870002,0.9016113,0.0223999
2019-03-25_10:55:28.701393,0.028987539883542,0.008403536301732,0.7513428,0.01118469,0.02058400358181,0.9017334,0.02282715
2019-03-25_10:55:29.025528,0.030704271013460002,0.009597415354328,0.7514648,0.01277161,0.021106855659132,0.9017334,0.02340698
2019-03-25_10:55:29.348664,0.029469490441599,0.009102878666543999,0.7513428,0.01211548,0.020366611775055003,0.9018555,0.02258301
2019-03-25_10:55:29.674789,0.02947415408535,0.0088047984375,0.7513428,0.01171875,0.02066935564785,0.9018555,0.0229187
2019-03-25_10:55:30.000953,0.029532767105483998,0.009034093233204,0.7513428,0.01202393,0.02049867387228,0.9016113,0.0227356
2019-03-25_10:55:30.319064,0.029654738688983995,0.009400958895587999,0.7513428,0.01251221,0.020253779793395998,0.9017334,0.02246094
2019-03-25_10:55:30.641335,0.029581083349570998,0.008829162830696,0.7514648,0.01174927,0.020751920518875,0.9018555,0.02301025
2019-03-25_10:55:30.964135,0.029530116943798004,0.008725964169712,0.7514648,0.01161194,0.020804152774086003,0.9017334,0.02307129
2019-03-25_10:55:31.311753,0.029567694783678,0.008598434624052,0.7513428,0.01144409,0.020969260159626,0.9017334,0.02325439
2019-03-25_10:55:31.634888,0.029794703930478002,0.008770401964116,0.7513428,0.01167297,0.021024301966362003,0.9017334,0.02331543
2019-03-25_10:55:31.957052,0.029891271508131,0.009089935738554,0.7512207,0.01210022,0.020801335769577,0.9016113,0.02307129
2019-03-25_10:55:32.279163,0.029731712819624,0.008850660402012,0.7513428,0.01177979,0.020881052417612,0.9014893,0.02316284
2019-03-25_10:55:32.603602,0.029676384348278,0.009012625446968,0.7514648,0.01199341,0.02066375890131,0.9016113,0.0229187
2019-03-25_10:55:32.927786,0.029681803426670997,0.008632831097435999,0.7513428,0.01148987,0.021048972329235,0.9016113,0.02334595
2019-03-25_10:55:33.245494,0.029260775356083,0.00873459332304,0.7512207,0.0116272,0.020526182033043,0.9016113,0.02276611
2019-03-25_10:55:33.565674,0.029893354787711997,0.0084837872262,0.7513428,0.0112915,0.021409567561511997,0.9017334,0.02374268
2019-03-25_10:55:33.894759,0.028924192508955004,0.008642891812191,0.7512207,0.01150513,0.020281300696764003,0.9017334,0.02249146
2019-03-25_10:55:34.218891,0.029702970395484,0.008816263928627999,0.7513428,0.01173401,0.020886706466856,0.9017334,0.02316284
2019-03-25_10:55:34.569460,0.028939382664156,0.008437932775116,0.7513428,0.01123047,0.020501449889040003,0.9017334,0.0227356
2019-03-25_10:55:34.927539,0.029756648303566002,0.009092889402256001,0.7514648,0.01210022,0.02066375890131,0.9016113,0.0229187
2019-03-25_10:55:35.266592,0.029104056708832003,0.008599830803032001,0.7514648,0.01144409,0.020504225905800002,0.9018555,0.0227356
2019-03-25_10:55:35.589777,0.029032900241499,0.008506718208456,0.7513428,0.01132202,0.020526182033043,0.9016113,0.02276611
2019-03-25_10:55:35.913860,0.029508047440337998,0.008758936472988,0.7513428,0.01165771,0.02074911096735,0.9017334,0.02301025
2019-03-25_10:55:36.233977,0.029597938011923,0.009047019990864,0.7514648,0.01203918,0.020550918021059,0.9014893,0.02279663
2019-03-25_10:55:36.562098,0.028782515239172,0.00861129815588,0.7514648,0.01145935,0.020171217083292,0.9017334,0.02236938
2019-03-25_10:55:36.887230,0.028730242833948,0.008231568961668,0.7513428,0.01095581,0.02049867387228,0.9016113,0.0227356
2019-03-25_10:55:37.212359,0.02994631769166,0.008952379716177,0.7512207,0.01191711,0.020993937975483,0.9016113,0.02328491
2019-03-25_10:55:37.542491,0.029872321139774,0.009230490121784,0.7514648,0.01228333,0.02064183101799,0.9018555,0.02288818
2019-03-25_10:55:37.865136,0.028647701831274002,0.008369147341776,0.7513428,0.01113892,0.020278554489498002,0.9016113,0.02249146
2019-03-25_10:55:38.189270,0.029381054091444002,0.008714496816864,0.7514648,0.01159668,0.02066655727458,0.9017334,0.0229187
2019-03-25_10:55:38.512017,0.029902458638916003,0.008988231268692,0.7513428,0.01196289,0.020914227370224,0.9017334,0.02319336
2019-03-25_10:55:38.839141,0.02943468110322,0.008713082021904,0.7513428,0.01159668,0.020721599081316,0.9017334,0.02297974
2019-03-25_10:55:39.162277,0.029771738709426,0.009022627742076,0.7513428,0.01200867,0.02074911096735,0.9017334,0.02301025
2019-03-25_10:55:39.483417,0.029739629388852003,0.009045551210904,0.7513428,0.01203918,0.020694078177948,0.9017334,0.02294922
2019-03-25_10:55:39.803567,0.028851822808647003,0.008072377659912,0.7514648,0.01074219,0.020779445148735,0.9018555,0.02304077
2019-03-25_10:55:40.122720,0.029392050834236,0.008920894138832,0.7514648,0.01187134,0.020471156695404,0.9016113,0.02270508
2019-03-25_10:55:40.445430,0.030553111619706,0.009366562422204,0.7513428,0.01246643,0.021186549197502,0.9016113,0.02349854
2019-03-25_10:55:40.768772,0.029205806685939,0.008839194910884,0.7513428,0.01176453,0.020366611775055003,0.9018555,0.02258301
2019-03-25_10:55:41.090907,0.02965933671216,0.009240449533224,0.7513428,0.01229858,0.020418887178936,0.9017334,0.02264404
2019-03-25_10:55:41.410052,0.029783188585062,0.009171664099884,0.7513428,0.01220703,0.020611524485178,0.9017334,0.02285767
2019-03-25_10:55:41.736235,0.028841168441982,0.008667220057391999,0.7513428,0.01153564,0.020173948384590003,0.9018555,0.02236938
2019-03-25_10:55:42.059365,0.029994968301363,0.009135782737875,0.7512207,0.01216125,0.020859185563488,0.9017334,0.02313232
2019-03-25_10:55:42.383497,0.030889555249667,0.0094582788378,0.7513428,0.0125885,0.021431276411867,0.9014893,0.02377319
2019-03-25_10:55:42.727127,0.030288328992938998,0.009731846314496998,0.7512207,0.01295471,0.020556482678441998,0.9017334,0.02279663
2019-03-25_10:55:43.057233,0.029496074515686,0.0088047984375,0.7513428,0.01171875,0.020691276078186,0.9016113,0.02294922
2019-03-25_10:55:43.410292,0.029166382793622,0.00860990011518,0.7513428,0.01145935,0.020556482678441998,0.9017334,0.02279663
