Time,Top Freq,Cur Freq,Perf Lost,Utilization,Cur Temp,Max Temp,Cur Power,Max Power,Fan
2018-09-15_20:53:49,2800 MHz,1643.0 MHz,0 (N/A) run sudo,4.1 %,42.0 C,42.0 C,19.5 W,20.0 W,1018.0 RPM
2018-09-15_20:53:50,2800 MHz,1952.0 MHz,0 (N/A) run sudo,5.9 %,42.0 C,42.0 C,20.7 W,21.0 W,1065.0 RPM
2018-09-15_20:53:50,2800 MHz,1881.0 MHz,0 (N/A) run sudo,1.5 %,42.0 C,42.0 C,15.9 W,21.0 W,1021.0 RPM
2018-09-15_20:53:50,2800 MHz,1802.0 MHz,0 (N/A) run sudo,1.1 %,42.0 C,42.0 C,15.7 W,21.0 W,1023.0 RPM
2018-09-15_20:53:50,2800 MHz,1779.0 MHz,0 (N/A) run sudo,1.3 %,42.0 C,42.0 C,15.5 W,21.0 W,1024.0 RPM
2018-09-15_20:53:51,2800 MHz,1844.0 MHz,0 (N/A) run sudo,1.3 %,42.0 C,42.0 C,16.3 W,21.0 W,1024.0 RPM
2018-09-15_20:53:51,2800 MHz,1871.0 MHz,0 (N/A) run sudo,0.9 %,42.0 C,42.0 C,16.1 W,21.0 W,1005.0 RPM
2018-09-15_20:53:51,2800 MHz,1838.0 MHz,0 (N/A) run sudo,0.9 %,42.0 C,42.0 C,16.1 W,21.0 W,975.0 RPM
2018-09-15_20:53:51,2800 MHz,1772.0 MHz,0 (N/A) run sudo,1.3 %,42.0 C,42.0 C,16.2 W,21.0 W,959.0 RPM
2018-09-15_20:53:51,2800 MHz,1766.0 MHz,0 (N/A) run sudo,1.5 %,42.0 C,42.0 C,16.8 W,21.0 W,949.0 RPM
2018-09-15_20:53:52,2800 MHz,1942.0 MHz,0 (N/A) run sudo,1.1 %,42.0 C,42.0 C,15.9 W,21.0 W,940.0 RPM
2018-09-15_20:53:52,2800 MHz,1752.0 MHz,0 (N/A) run sudo,2.6 %,42.0 C,42.0 C,15.5 W,21.0 W,935.0 RPM
2018-09-15_20:53:52,2800 MHz,1923.0 MHz,0 (N/A) run sudo,7.9 %,42.0 C,42.0 C,18.7 W,21.0 W,933.0 RPM
2018-09-15_20:53:52,2800 MHz,2038.0 MHz,0 (N/A) run sudo,3.5 %,42.0 C,42.0 C,16.4 W,21.0 W,932.0 RPM
2018-09-15_20:53:53,2800 MHz,1794.0 MHz,0 (N/A) run sudo,2.3 %,42.0 C,42.0 C,16.3 W,21.0 W,931.0 RPM
2018-09-15_20:53:53,2800 MHz,1778.0 MHz,0 (N/A) run sudo,2.3 %,42.0 C,42.0 C,16.0 W,21.0 W,953.0 RPM
2018-09-15_20:53:53,2800 MHz,1637.0 MHz,0 (N/A) run sudo,2.3 %,42.0 C,42.0 C,16.0 W,21.0 W,983.0 RPM
