timestamp, power.draw [W]
2018/09/15 21:41:58.152, 12.80 W
2018/09/15 21:41:58.354, 12.80 W
2018/09/15 21:41:58.555, 12.80 W
2018/09/15 21:41:58.755, 13.28 W
2018/09/15 21:41:58.956, 13.28 W
2018/09/15 21:41:59.157, 13.28 W
2018/09/15 21:41:59.358, 24.53 W
2018/09/15 21:41:59.558, 27.23 W
2018/09/15 21:41:59.759, 26.94 W
2018/09/15 21:41:59.960, 24.92 W
2018/09/15 21:42:00.161, 24.53 W
2018/09/15 21:42:00.361, 24.63 W
2018/09/15 21:42:00.562, 24.34 W
2018/09/15 21:42:00.763, 24.44 W
2018/09/15 21:42:00.963, 24.82 W
2018/09/15 21:42:01.164, 24.73 W
2018/09/15 21:42:01.365, 24.92 W
2018/09/15 21:42:01.568, 24.82 W
2018/09/15 21:42:01.772, 24.82 W
2018/09/15 21:42:01.975, 24.73 W
2018/09/15 21:42:02.176, 26.56 W
2018/09/15 21:42:02.377, 24.63 W
2018/09/15 21:42:02.577, 24.53 W
2018/09/15 21:42:02.778, 24.82 W
2018/09/15 21:42:02.979, 24.82 W
2018/09/15 21:42:03.179, 24.82 W
2018/09/15 21:42:03.380, 24.73 W
2018/09/15 21:42:03.583, 24.44 W
2018/09/15 21:42:03.784, 24.53 W
2018/09/15 21:42:03.985, 24.53 W
2018/09/15 21:42:04.185, 24.53 W
2018/09/15 21:42:04.386, 24.44 W
2018/09/15 21:42:04.587, 24.63 W
2018/09/15 21:42:04.787, 24.44 W
2018/09/15 21:42:04.990, 24.44 W
2018/09/15 21:42:05.191, 24.44 W
2018/09/15 21:42:05.392, 24.44 W
2018/09/15 21:42:05.592, 24.44 W
2018/09/15 21:42:05.793, 24.44 W
2018/09/15 21:42:05.994, 13.57 W
2018/09/15 21:42:06.195, 13.57 W
2018/09/15 21:42:06.396, 13.57 W
2018/09/15 21:42:06.596, 13.57 W
2018/09/15 21:42:06.797, 13.57 W
2018/09/15 21:42:06.998, 13.37 W
2018/09/15 21:42:07.199, 13.37 W
2018/09/15 21:42:07.399, 13.37 W
2018/09/15 21:42:07.600, 31.92 W
2018/09/15 21:42:07.801, 36.03 W
2018/09/15 21:42:08.001, 37.95 W
2018/09/15 21:42:08.202, 36.80 W
2018/09/15 21:42:08.402, 36.53 W
2018/09/15 21:42:08.603, 36.53 W
2018/09/15 21:42:08.804, 36.44 W
2018/09/15 21:42:09.004, 36.05 W
2018/09/15 21:42:09.205, 35.76 W
2018/09/15 21:42:09.405, 35.76 W
2018/09/15 21:42:09.606, 35.95 W
2018/09/15 21:42:09.806, 35.76 W
2018/09/15 21:42:10.011, 36.44 W
2018/09/15 21:42:10.211, 36.44 W
2018/09/15 21:42:10.412, 36.44 W
2018/09/15 21:42:10.612, 36.44 W
2018/09/15 21:42:10.813, 36.34 W
2018/09/15 21:42:11.014, 35.86 W
2018/09/15 21:42:11.214, 35.86 W
2018/09/15 21:42:11.415, 35.76 W
2018/09/15 21:42:11.615, 35.86 W
2018/09/15 21:42:11.818, 35.86 W
2018/09/15 21:42:12.019, 35.86 W
2018/09/15 21:42:12.219, 35.76 W
2018/09/15 21:42:12.420, 35.86 W
2018/09/15 21:42:12.620, 35.86 W
2018/09/15 21:42:12.821, 35.86 W
2018/09/15 21:42:13.024, 35.86 W
2018/09/15 21:42:13.224, 36.61 W
2018/09/15 21:42:13.425, 37.28 W
2018/09/15 21:42:13.632, 37.38 W
2018/09/15 21:42:13.834, 37.57 W
2018/09/15 21:42:14.034, 37.96 W
2018/09/15 21:42:14.238, 37.96 W
2018/09/15 21:42:14.439, 37.96 W
2018/09/15 21:42:14.639, 37.76 W
2018/09/15 21:42:14.840, 37.67 W
2018/09/15 21:42:15.041, 37.76 W
2018/09/15 21:42:15.244, 37.96 W
2018/09/15 21:42:15.445, 37.86 W
2018/09/15 21:42:15.646, 37.86 W
2018/09/15 21:42:15.846, 37.86 W
2018/09/15 21:42:16.047, 37.86 W
2018/09/15 21:42:16.250, 37.76 W
2018/09/15 21:42:16.451, 37.86 W
2018/09/15 21:42:16.651, 37.76 W
2018/09/15 21:42:16.852, 38.05 W
2018/09/15 21:42:17.052, 37.86 W
2018/09/15 21:42:17.256, 37.67 W
2018/09/15 21:42:17.457, 37.86 W
2018/09/15 21:42:17.657, 37.76 W
2018/09/15 21:42:17.858, 37.86 W
2018/09/15 21:42:18.058, 37.86 W
2018/09/15 21:42:18.262, 37.86 W
2018/09/15 21:42:18.462, 37.86 W
2018/09/15 21:42:18.663, 37.86 W
2018/09/15 21:42:18.863, 37.86 W
2018/09/15 21:42:19.064, 37.86 W
2018/09/15 21:42:19.267, 37.86 W
2018/09/15 21:42:19.467, 37.86 W
