timestamp, power.draw [W]
2018/09/15 22:14:18.594, 24.44 W
2018/09/15 22:14:18.799, 24.63 W
2018/09/15 22:14:19.000, 24.34 W
2018/09/15 22:14:19.200, 24.34 W
2018/09/15 22:14:19.401, 24.34 W
2018/09/15 22:14:19.602, 24.34 W
2018/09/15 22:14:19.803, 24.34 W
2018/09/15 22:14:20.003, 13.47 W
2018/09/15 22:14:20.204, 13.47 W
2018/09/15 22:14:20.405, 13.47 W
2018/09/15 22:14:20.606, 13.47 W
2018/09/15 22:14:20.806, 13.47 W
2018/09/15 22:14:21.007, 18.86 W
2018/09/15 22:14:21.208, 18.86 W
2018/09/15 22:14:21.409, 18.86 W
2018/09/15 22:14:21.609, 18.86 W
2018/09/15 22:14:21.810, 18.86 W
2018/09/15 22:14:22.011, 13.47 W
2018/09/15 22:14:22.212, 13.47 W
2018/09/15 22:14:22.413, 13.47 W
2018/09/15 22:14:22.613, 13.47 W
2018/09/15 22:14:22.814, 13.47 W
2018/09/15 22:14:23.016, 17.12 W
2018/09/15 22:14:23.216, 24.44 W
2018/09/15 22:14:23.417, 24.54 W
2018/09/15 22:14:23.618, 24.34 W
2018/09/15 22:14:23.818, 24.44 W
2018/09/15 22:14:24.019, 24.44 W
2018/09/15 22:14:24.220, 24.73 W
2018/09/15 22:14:24.423, 24.44 W
2018/09/15 22:14:24.624, 24.44 W
2018/09/15 22:14:24.824, 24.44 W
2018/09/15 22:14:25.025, 24.92 W
2018/09/15 22:14:25.226, 24.44 W
2018/09/15 22:14:25.426, 24.53 W
2018/09/15 22:14:25.627, 24.53 W
2018/09/15 22:14:25.828, 24.53 W
2018/09/15 22:14:26.030, 24.44 W
2018/09/15 22:14:26.231, 24.53 W
2018/09/15 22:14:26.431, 25.20 W
2018/09/15 22:14:26.632, 35.09 W
2018/09/15 22:14:26.837, 36.51 W
2018/09/15 22:14:27.044, 36.99 W
2018/09/15 22:14:27.250, 36.90 W
2018/09/15 22:14:27.451, 36.05 W
2018/09/15 22:14:27.651, 35.67 W
2018/09/15 22:14:27.852, 35.76 W
2018/09/15 22:14:28.053, 36.05 W
2018/09/15 22:14:28.253, 36.24 W
2018/09/15 22:14:28.457, 36.15 W
2018/09/15 22:14:28.663, 36.24 W
2018/09/15 22:14:28.865, 36.15 W
2018/09/15 22:14:29.068, 36.34 W
2018/09/15 22:14:29.271, 36.13 W
2018/09/15 22:14:29.472, 35.86 W
2018/09/15 22:14:29.672, 35.76 W
2018/09/15 22:14:29.873, 35.86 W
2018/09/15 22:14:30.074, 35.76 W
2018/09/15 22:14:30.274, 36.15 W
2018/09/15 22:14:30.478, 35.86 W
2018/09/15 22:14:30.679, 35.86 W
2018/09/15 22:14:30.879, 35.76 W
2018/09/15 22:14:31.080, 35.86 W
2018/09/15 22:14:31.280, 35.76 W
2018/09/15 22:14:31.481, 35.76 W
2018/09/15 22:14:31.684, 35.76 W
2018/09/15 22:14:31.885, 35.86 W
2018/09/15 22:14:32.085, 35.76 W
2018/09/15 22:14:32.286, 36.61 W
2018/09/15 22:14:32.486, 37.86 W
2018/09/15 22:14:32.687, 37.96 W
2018/09/15 22:14:32.888, 38.25 W
2018/09/15 22:14:33.089, 38.34 W
2018/09/15 22:14:33.290, 38.83 W
2018/09/15 22:14:33.490, 38.92 W
2018/09/15 22:14:33.691, 39.02 W
2018/09/15 22:14:33.891, 39.02 W
2018/09/15 22:14:34.092, 39.02 W
2018/09/15 22:14:34.294, 39.02 W
2018/09/15 22:14:34.495, 39.01 W
