timestamp, power.draw [W]
2018/11/23 13:45:18.401, 12.80 W
2018/11/23 13:45:18.602, 12.80 W
2018/11/23 13:45:18.803, 12.80 W
2018/11/23 13:45:19.004, 12.80 W
2018/11/23 13:45:19.204, 12.80 W
2018/11/23 13:45:19.405, 13.47 W
2018/11/23 13:45:19.606, 13.47 W
2018/11/23 13:45:19.807, 13.47 W
2018/11/23 13:45:20.008, 13.47 W
2018/11/23 13:45:20.208, 13.47 W
2018/11/23 13:45:20.409, 13.18 W
2018/11/23 13:45:20.610, 13.18 W
2018/11/23 13:45:20.811, 13.18 W
2018/11/23 13:45:21.012, 13.18 W
2018/11/23 13:45:21.213, 13.18 W
2018/11/23 13:45:21.414, 12.99 W
2018/11/23 13:45:21.614, 12.99 W
2018/11/23 13:45:21.815, 12.99 W
2018/11/23 13:45:22.016, 12.99 W
2018/11/23 13:45:22.217, 12.99 W
2018/11/23 13:45:22.418, 21.36 W
2018/11/23 13:45:22.619, 21.36 W
2018/11/23 13:45:22.819, 21.36 W
2018/11/23 13:45:23.020, 21.36 W
2018/11/23 13:45:23.221, 21.36 W
2018/11/23 13:45:23.422, 12.89 W
2018/11/23 13:45:23.622, 12.89 W
2018/11/23 13:45:23.823, 12.89 W
2018/11/23 13:45:24.024, 12.89 W
2018/11/23 13:45:24.225, 12.89 W
2018/11/23 13:45:24.426, 13.28 W
2018/11/23 13:45:24.627, 13.28 W
2018/11/23 13:45:24.827, 13.28 W
2018/11/23 13:45:25.028, 13.28 W
2018/11/23 13:45:25.229, 13.28 W
2018/11/23 13:45:25.430, 13.56 W
2018/11/23 13:45:25.630, 13.56 W
2018/11/23 13:45:25.831, 13.56 W
2018/11/23 13:45:26.032, 13.56 W
2018/11/23 13:45:26.233, 13.56 W
2018/11/23 13:45:26.434, 13.08 W
2018/11/23 13:45:26.637, 13.08 W
2018/11/23 13:45:26.839, 34.88 W
2018/11/23 13:45:27.040, 36.22 W
2018/11/23 13:45:27.240, 37.09 W
2018/11/23 13:45:27.441, 36.13 W
2018/11/23 13:45:27.642, 36.03 W
2018/11/23 13:45:27.842, 35.94 W
2018/11/23 13:45:28.043, 36.13 W
2018/11/23 13:45:28.244, 36.42 W
2018/11/23 13:45:28.446, 36.51 W
2018/11/23 13:45:28.646, 36.22 W
2018/11/23 13:45:28.847, 36.03 W
2018/11/23 13:45:29.048, 36.03 W
2018/11/23 13:45:29.248, 36.03 W
2018/11/23 13:45:29.449, 36.13 W
2018/11/23 13:45:29.652, 35.94 W
2018/11/23 13:45:29.852, 36.03 W
2018/11/23 13:45:30.053, 35.94 W
2018/11/23 13:45:30.254, 36.13 W
2018/11/23 13:45:30.454, 36.03 W
2018/11/23 13:45:30.655, 36.03 W
2018/11/23 13:45:30.858, 36.03 W
2018/11/23 13:45:31.058, 36.13 W
2018/11/23 13:45:31.259, 36.42 W
2018/11/23 13:45:31.459, 36.51 W
2018/11/23 13:45:31.660, 36.22 W
2018/11/23 13:45:31.861, 36.03 W
2018/11/23 13:45:32.064, 36.22 W
2018/11/23 13:45:32.264, 36.42 W
2018/11/23 13:45:32.465, 36.89 W
