timestamp, power.draw [W]
2018/09/15 20:05:25.543, 13.57 W
2018/09/15 20:05:25.744, 13.57 W
2018/09/15 20:05:25.944, 13.57 W
2018/09/15 20:05:26.145, 13.57 W
2018/09/15 20:05:26.346, 13.57 W
2018/09/15 20:05:26.547, 13.57 W
2018/09/15 20:05:26.748, 13.57 W
2018/09/15 20:05:26.958, 13.57 W
2018/09/15 20:05:27.159, 14.44 W
2018/09/15 20:05:27.360, 14.44 W
2018/09/15 20:05:27.561, 14.44 W
2018/09/15 20:05:27.761, 14.44 W
2018/09/15 20:05:27.962, 14.44 W
2018/09/15 20:05:28.163, 17.32 W
2018/09/15 20:05:28.364, 17.32 W
2018/09/15 20:05:28.565, 17.32 W
2018/09/15 20:05:28.766, 17.32 W
2018/09/15 20:05:28.966, 17.32 W
2018/09/15 20:05:29.167, 14.05 W
2018/09/15 20:05:29.368, 14.05 W
2018/09/15 20:05:29.569, 14.05 W
2018/09/15 20:05:29.769, 14.05 W
2018/09/15 20:05:29.970, 14.05 W
2018/09/15 20:05:30.171, 21.66 W
2018/09/15 20:05:30.371, 21.66 W
2018/09/15 20:05:30.572, 21.66 W
2018/09/15 20:05:30.773, 33.55 W
2018/09/15 20:05:30.973, 36.80 W
2018/09/15 20:05:31.174, 37.76 W
2018/09/15 20:05:31.375, 37.59 W
2018/09/15 20:05:31.575, 37.01 W
2018/09/15 20:05:31.776, 36.53 W
2018/09/15 20:05:31.976, 36.24 W
2018/09/15 20:05:32.177, 36.34 W
2018/09/15 20:05:32.377, 36.15 W
2018/09/15 20:05:32.578, 36.24 W
2018/09/15 20:05:32.781, 36.82 W
2018/09/15 20:05:32.981, 37.01 W
2018/09/15 20:05:33.182, 36.92 W
2018/09/15 20:05:33.382, 37.01 W
2018/09/15 20:05:33.583, 36.82 W
2018/09/15 20:05:33.784, 36.82 W
2018/09/15 20:05:33.984, 36.34 W
2018/09/15 20:05:34.185, 36.24 W
2018/09/15 20:05:34.389, 36.24 W
2018/09/15 20:05:34.589, 36.24 W
2018/09/15 20:05:34.790, 36.15 W
2018/09/15 20:05:34.991, 36.05 W
2018/09/15 20:05:35.191, 36.24 W
2018/09/15 20:05:35.392, 36.24 W
2018/09/15 20:05:35.595, 36.15 W
2018/09/15 20:05:35.795, 36.15 W
2018/09/15 20:05:35.996, 36.15 W
2018/09/15 20:05:36.196, 36.15 W
2018/09/15 20:05:36.397, 36.80 W
2018/09/15 20:05:36.597, 37.48 W
2018/09/15 20:05:36.799, 37.57 W
2018/09/15 20:05:37.004, 37.40 W
2018/09/15 20:05:37.205, 37.86 W
2018/09/15 20:05:37.405, 37.67 W
2018/09/15 20:05:37.606, 37.78 W
2018/09/15 20:05:37.809, 37.76 W
2018/09/15 20:05:38.009, 37.67 W
2018/09/15 20:05:38.210, 37.86 W
2018/09/15 20:05:38.411, 37.76 W
2018/09/15 20:05:38.611, 37.86 W
2018/09/15 20:05:38.814, 37.76 W
2018/09/15 20:05:39.015, 37.76 W
2018/09/15 20:05:39.215, 37.96 W
2018/09/15 20:05:39.416, 37.76 W
2018/09/15 20:05:39.616, 38.05 W
2018/09/15 20:05:39.820, 37.76 W
2018/09/15 20:05:40.020, 37.86 W
2018/09/15 20:05:40.221, 37.96 W
2018/09/15 20:05:40.421, 37.76 W
2018/09/15 20:05:40.622, 37.96 W
2018/09/15 20:05:40.825, 37.86 W
2018/09/15 20:05:41.025, 37.76 W
2018/09/15 20:05:41.226, 37.76 W
2018/09/15 20:05:41.426, 37.76 W
2018/09/15 20:05:41.627, 37.86 W
2018/09/15 20:05:41.830, 37.76 W
