Time,Top Freq,Cur Freq,Perf Lost,Utilization,Cur Temp,Max Temp,Cur Power,Max Power,Fan
2018-09-15_19:31:00,2800 MHz,2036.0 MHz,0 (N/A) run sudo,7.4 %,46.0 C,46.0 C,29.8 W,30.0 W,957.0 RPM
2018-09-15_19:31:00,2800 MHz,2240.0 MHz,0 (N/A) run sudo,10.9 %,46.0 C,46.0 C,31.6 W,32.0 W,954.0 RPM
2018-09-15_19:31:00,2800 MHz,2160.0 MHz,0 (N/A) run sudo,4.0 %,46.0 C,46.0 C,21.0 W,32.0 W,947.0 RPM
2018-09-15_19:31:00,2800 MHz,1925.0 MHz,0 (N/A) run sudo,2.3 %,46.0 C,46.0 C,17.0 W,32.0 W,942.0 RPM
2018-09-15_19:31:01,2800 MHz,2038.0 MHz,0 (N/A) run sudo,2.3 %,46.0 C,46.0 C,17.0 W,32.0 W,902.0 RPM
2018-09-15_19:31:01,2800 MHz,2015.0 MHz,0 (N/A) run sudo,2.5 %,46.0 C,46.0 C,17.2 W,32.0 W,937.0 RPM
2018-09-15_19:31:01,2800 MHz,1806.0 MHz,0 (N/A) run sudo,1.9 %,46.0 C,46.0 C,16.7 W,32.0 W,936.0 RPM
2018-09-15_19:31:01,2800 MHz,1877.0 MHz,0 (N/A) run sudo,2.4 %,46.0 C,46.0 C,17.0 W,32.0 W,960.0 RPM
2018-09-15_19:31:02,2800 MHz,1944.0 MHz,0 (N/A) run sudo,2.3 %,46.0 C,46.0 C,18.4 W,32.0 W,990.0 RPM
2018-09-15_19:31:02,2800 MHz,1931.0 MHz,0 (N/A) run sudo,1.8 %,46.0 C,46.0 C,16.6 W,32.0 W,1010.0 RPM
2018-09-15_19:31:02,2800 MHz,1804.0 MHz,0 (N/A) run sudo,1.3 %,46.0 C,46.0 C,16.5 W,32.0 W,1021.0 RPM
2018-09-15_19:31:02,2800 MHz,1743.0 MHz,0 (N/A) run sudo,2.3 %,46.0 C,46.0 C,16.7 W,32.0 W,1025.0 RPM
