timestamp, power.draw [W]
2018/11/23 13:20:31.766, 13.37 W
2018/11/23 13:20:31.968, 13.37 W
2018/11/23 13:20:32.168, 13.37 W
2018/11/23 13:20:32.369, 13.37 W
2018/11/23 13:20:32.570, 13.37 W
2018/11/23 13:20:32.771, 13.37 W
2018/11/23 13:20:32.972, 13.37 W
2018/11/23 13:20:33.173, 13.37 W
2018/11/23 13:20:33.374, 13.37 W
2018/11/23 13:20:33.574, 13.37 W
2018/11/23 13:20:33.775, 13.57 W
2018/11/23 13:20:33.976, 13.57 W
2018/11/23 13:20:34.177, 13.57 W
2018/11/23 13:20:34.378, 13.57 W
2018/11/23 13:20:34.579, 13.57 W
2018/11/23 13:20:34.779, 13.28 W
2018/11/23 13:20:34.980, 13.28 W
2018/11/23 13:20:35.181, 13.28 W
2018/11/23 13:20:35.382, 13.28 W
2018/11/23 13:20:35.583, 13.28 W
2018/11/23 13:20:35.784, 13.37 W
2018/11/23 13:20:35.984, 13.37 W
2018/11/23 13:20:36.185, 13.37 W
2018/11/23 13:20:36.386, 13.37 W
2018/11/23 13:20:36.587, 13.37 W
2018/11/23 13:20:36.788, 14.24 W
2018/11/23 13:20:36.989, 14.24 W
2018/11/23 13:20:37.189, 14.24 W
2018/11/23 13:20:37.390, 14.24 W
2018/11/23 13:20:37.591, 14.24 W
2018/11/23 13:20:37.792, 13.09 W
2018/11/23 13:20:37.993, 13.09 W
2018/11/23 13:20:38.193, 13.09 W
2018/11/23 13:20:38.394, 13.09 W
2018/11/23 13:20:38.595, 13.09 W
2018/11/23 13:20:38.796, 13.09 W
2018/11/23 13:20:38.996, 13.09 W
2018/11/23 13:20:39.197, 13.09 W
2018/11/23 13:20:39.398, 13.09 W
2018/11/23 13:20:39.599, 13.09 W
2018/11/23 13:20:39.799, 13.37 W
2018/11/23 13:20:40.000, 13.37 W
2018/11/23 13:20:40.201, 13.37 W
2018/11/23 13:20:40.402, 13.37 W
2018/11/23 13:20:40.603, 13.37 W
2018/11/23 13:20:40.804, 13.86 W
2018/11/23 13:20:41.005, 13.86 W
2018/11/23 13:20:41.205, 13.86 W
2018/11/23 13:20:41.406, 13.86 W
2018/11/23 13:20:41.607, 13.86 W
