Timestamp,Power
,
2018-09-18_20:35:02,4.8
2018-09-18_20:35:02,4.9
2018-09-18_20:35:02,5.5
2018-09-18_20:35:02,5.4
2018-09-18_20:35:02,5.3
2018-09-18_20:35:02,4.3
2018-09-18_20:35:02,5.6
2018-09-18_20:35:02,4.8
2018-09-18_20:35:02,5.1
2018-09-18_20:35:02,4.8
2018-09-18_20:35:02,5.2
2018-09-18_20:35:02,4.6
2018-09-18_20:35:02,5.2
2018-09-18_20:35:02,5.6
2018-09-18_20:35:02,4.1
2018-09-18_20:35:02,5.1
2018-09-18_20:35:02,5
2018-09-18_20:35:02,5.3
2018-09-18_20:35:02,5
2018-09-18_20:35:02,5.3
2018-09-18_20:35:02,5
2018-09-18_20:35:02,4.6
2018-09-18_20:35:02,4.6
2018-09-18_20:35:02,5.5
2018-09-18_20:35:02,4.9
2018-09-18_20:35:02,4.8
2018-09-18_20:35:02,4.7
2018-09-18_20:35:02,5
2018-09-18_20:35:02,5.3
2018-09-18_20:35:02,5
2018-09-18_20:35:02,5.2
2018-09-18_20:35:02,5.1
2018-09-18_20:35:02,4.2
2018-09-18_20:35:02,5.3
2018-09-18_20:35:02,5
2018-09-18_20:35:02,5.5
2018-09-18_20:35:02,5.5
2018-09-18_20:35:02,5.1
2018-09-18_20:35:02,4.6
2018-09-18_20:35:02,5.7
2018-09-18_20:35:02,5
2018-09-18_20:35:02,4.7
2018-09-18_20:35:02,5.2
2018-09-18_20:35:02,5.1
2018-09-18_20:35:02,5
2018-09-18_20:35:02,4.8
2018-09-18_20:35:02,5
2018-09-18_20:35:02,4.8
2018-09-18_20:35:02,4.9
2018-09-18_20:35:02,5.5
2018-09-18_20:35:02,4.7
2018-09-18_20:35:02,4.4
2018-09-18_20:35:02,4.9
2018-09-18_20:35:02,4.2
2018-09-18_20:35:02,4.8
2018-09-18_20:35:02,4.2
2018-09-18_20:35:02,5.1
2018-09-18_20:35:02,5.7
2018-09-18_20:35:02,5.2
2018-09-18_20:50:02,4.8
