Time,,,,,,,Power,Volts,Amps
,,,,,,,,,
2018-10-18_21:39:17,,,,,,,0.6944,4.96,0.14
2018-10-18_21:39:17,,,,,,,0.744,4.96,0.15
2018-10-18_21:39:17,,,,,,,0.6944,4.96,0.14
2018-10-18_21:39:17,,,,,,,0.744,4.96,0.15
2018-10-18_21:39:17,,,,,,,0.744,4.96,0.15
2018-10-18_21:39:17,,,,,,,0.6944,4.96,0.14
2018-10-18_21:39:17,,,,,,,0.6944,4.96,0.14
2018-10-18_21:39:17,,,,,,,0.744,4.96,0.15
2018-10-18_21:39:17,,,,,,,0.7425,4.95,0.15
2018-10-18_21:39:17,,,,,,,0.6944,4.96,0.14
2018-10-18_21:39:17,,,,,,,0.744,4.96,0.15
2018-10-18_21:39:17,,,,,,,0.6944,4.96,0.14
2018-10-18_21:39:17,,,,,,,0.744,4.96,0.15
2018-10-18_21:39:17,,,,,,,0.6944,4.96,0.14
2018-10-18_21:39:17,,,,,,,0.744,4.96,0.15
2018-10-18_21:39:17,,,,,,,0.6944,4.96,0.14
2018-10-18_21:39:17,,,,,,,0.6944,4.96,0.14
2018-10-18_21:39:17,,,,,,,0.744,4.96,0.15
2018-10-18_21:39:17,,,,,,,0.744,4.96,0.15
2018-10-18_21:39:17,,,,,,,0.744,4.96,0.15
2018-10-18_21:39:17,,,,,,,0.6944,4.96,0.14
2018-10-18_21:39:17,,,,,,,0.744,4.96,0.15
2018-10-18_21:39:17,,,,,,,0.8432,4.96,0.17
2018-10-18_21:39:17,,,,,,,0.6944,4.96,0.14
2018-10-18_21:39:17,,,,,,,0.6944,4.96,0.14
2018-10-18_21:39:17,,,,,,,0.6944,4.96,0.14
2018-10-18_21:39:17,,,,,,,0.6448,4.96,0.13
2018-10-18_21:39:17,,,,,,,0.744,4.96,0.15
2018-10-18_21:39:17,,,,,,,0.744,4.96,0.15
2018-10-18_21:39:17,,,,,,,0.744,4.96,0.15
2018-10-18_21:39:17,,,,,,,0.6944,4.96,0.14
2018-10-18_21:39:17,,,,,,,0.744,4.96,0.15
2018-10-18_21:39:17,,,,,,,0.6944,4.96,0.14
2018-10-18_21:39:17,,,,,,,0.744,4.96,0.15
2018-10-18_21:39:17,,,,,,,0.6944,4.96,0.14
2018-10-18_21:39:17,,,,,,,0.744,4.96,0.15
2018-10-18_21:39:17,,,,,,,0.744,4.96,0.15
2018-10-18_21:39:17,,,,,,,0.6944,4.96,0.14
2018-10-18_21:39:17,,,,,,,0.744,4.96,0.15
2018-10-18_21:39:17,,,,,,,0.744,4.96,0.15
2018-10-18_21:39:17,,,,,,,0.6448,4.96,0.13
2018-10-18_21:39:17,,,,,,,0.744,4.96,0.15
2018-10-18_21:39:17,,,,,,,0.744,4.96,0.15
2018-10-18_21:39:17,,,,,,,0.6944,4.96,0.14
2018-10-18_21:39:17,,,,,,,0.6944,4.96,0.14
2018-10-18_21:39:17,,,,,,,0.693,4.95,0.14
2018-10-18_21:39:17,,,,,,,0.744,4.96,0.15
2018-10-18_21:39:17,,,,,,,0.6944,4.96,0.14
2018-10-18_21:39:17,,,,,,,0.8432,4.96,0.17
2018-10-18_21:39:17,,,,,,,0.744,4.96,0.15
2018-10-18_21:39:17,,,,,,,0.744,4.96,0.15
2018-10-18_21:39:17,,,,,,,0.744,4.96,0.15
2018-10-18_21:39:17,,,,,,,0.6944,4.96,0.14
2018-10-18_21:39:17,,,,,,,0.6944,4.96,0.14
2018-10-18_21:39:17,,,,,,,0.744,4.96,0.15
2018-10-18_21:39:17,,,,,,,0.744,4.96,0.15
2018-10-18_21:39:17,,,,,,,0.6944,4.96,0.14
2018-10-18_21:39:17,,,,,,,0.6944,4.96,0.14
2018-10-18_21:39:17,,,,,,,0.7425,4.95,0.15
2018-10-18_21:54:17,,,,,,,0.744,4.96,0.15
