Time,Top Freq,Cur Freq,Perf Lost,Utilization,Cur Temp,Max Temp,Cur Power,Max Power,Fan
2018-11-23_14:20:52,2800 MHz,1686.0 MHz,0 (N/A) run sudo,8.8 %,45.0 C,45.0 C,29.4 W,30.0 W,945.0 RPM
2018-11-23_14:20:52,2800 MHz,1846.0 MHz,0 (N/A) run sudo,6.2 %,45.0 C,45.0 C,35.5 W,36.0 W,945.0 RPM
2018-11-23_14:20:52,2800 MHz,2006.0 MHz,0 (N/A) run sudo,4.6 %,45.0 C,45.0 C,21.3 W,36.0 W,944.0 RPM
2018-11-23_14:20:52,2800 MHz,1692.0 MHz,0 (N/A) run sudo,4.5 %,46.0 C,46.0 C,21.0 W,36.0 W,985.0 RPM
2018-11-23_14:20:53,2800 MHz,1789.0 MHz,0 (N/A) run sudo,4.6 %,46.0 C,46.0 C,20.6 W,36.0 W,1008.0 RPM
2018-11-23_14:20:53,2800 MHz,1582.0 MHz,0 (N/A) run sudo,3.8 %,46.0 C,46.0 C,21.0 W,36.0 W,1025.0 RPM
2018-11-23_14:20:53,2800 MHz,1640.0 MHz,0 (N/A) run sudo,4.8 %,46.0 C,46.0 C,21.0 W,36.0 W,1033.0 RPM
2018-11-23_14:20:53,2800 MHz,1684.0 MHz,0 (N/A) run sudo,4.6 %,46.0 C,46.0 C,22.0 W,36.0 W,1039.0 RPM
2018-11-23_14:20:54,2800 MHz,1825.0 MHz,0 (N/A) run sudo,4.9 %,46.0 C,46.0 C,21.1 W,36.0 W,1041.0 RPM
2018-11-23_14:20:54,2800 MHz,1833.0 MHz,0 (N/A) run sudo,5.0 %,46.0 C,46.0 C,20.9 W,36.0 W,1041.0 RPM
2018-11-23_14:20:54,2800 MHz,1678.0 MHz,0 (N/A) run sudo,5.0 %,46.0 C,46.0 C,21.5 W,36.0 W,1042.0 RPM
2018-11-23_14:20:54,2800 MHz,2051.0 MHz,0 (N/A) run sudo,4.7 %,46.0 C,46.0 C,21.0 W,36.0 W,1038.0 RPM
