Timestamp,Power
,
2018-09-19_18:59:53,4.4
2018-09-19_18:59:53,4.2
2018-09-19_18:59:53,5
2018-09-19_18:59:53,4.8
2018-09-19_18:59:53,4.7
2018-09-19_18:59:53,4
2018-09-19_18:59:53,4
2018-09-19_18:59:53,4.5
2018-09-19_18:59:53,5.2
2018-09-19_18:59:53,4.1
2018-09-19_18:59:53,4.6
2018-09-19_18:59:53,4.1
2018-09-19_18:59:53,4.9
2018-09-19_18:59:53,4.4
2018-09-19_18:59:53,4.3
2018-09-19_18:59:53,4
2018-09-19_18:59:53,3.9
2018-09-19_18:59:53,5
2018-09-19_18:59:53,4.4
2018-09-19_18:59:53,4.4
2018-09-19_18:59:53,4.2
2018-09-19_18:59:53,4.2
2018-09-19_18:59:53,4.5
2018-09-19_18:59:53,4.4
2018-09-19_18:59:53,4.1
2018-09-19_18:59:53,4.4
2018-09-19_18:59:53,4
2018-09-19_18:59:53,4.3
2018-09-19_18:59:53,4.4
2018-09-19_18:59:53,3.9
2018-09-19_18:59:53,4
2018-09-19_18:59:53,4.9
2018-09-19_18:59:53,4.6
2018-09-19_18:59:53,4.3
2018-09-19_18:59:53,4.4
2018-09-19_18:59:53,5
2018-09-19_18:59:53,4.2
2018-09-19_18:59:53,4.9
2018-09-19_18:59:53,4.5
2018-09-19_18:59:53,4.2
2018-09-19_18:59:53,3.7
2018-09-19_18:59:53,4.4
2018-09-19_18:59:53,4.3
2018-09-19_18:59:53,4.2
2018-09-19_18:59:53,4.1
2018-09-19_18:59:53,4.2
2018-09-19_18:59:53,4.6
2018-09-19_18:59:53,4.1
2018-09-19_18:59:53,4.5
2018-09-19_18:59:53,4
2018-09-19_18:59:53,4.6
2018-09-19_18:59:53,4.1
2018-09-19_18:59:53,4.2
2018-09-19_18:59:53,4.8
2018-09-19_18:59:53,4.6
2018-09-19_18:59:53,3.9
2018-09-19_18:59:53,4.2
2018-09-19_18:59:53,4.6
2018-09-19_18:59:53,4.4
2018-09-19_19:14:53,4.1
