Time,Top Freq,Cur Freq,Perf Lost,Utilization,Cur Temp,Max Temp,Cur Power,Max Power,Fan
2018-09-15_20:21:18,2800 MHz,1903.0 MHz,0 (N/A) run sudo,3.8 %,43.0 C,43.0 C,25.1 W,26.0 W,980.0 RPM
2018-09-15_20:21:18,2800 MHz,1841.0 MHz,0 (N/A) run sudo,3.8 %,43.0 C,43.0 C,28.0 W,28.0 W,1015.0 RPM
2018-09-15_20:21:18,2800 MHz,1749.0 MHz,0 (N/A) run sudo,2.6 %,43.0 C,43.0 C,18.7 W,28.0 W,989.0 RPM
2018-09-15_20:21:19,2800 MHz,1730.0 MHz,0 (N/A) run sudo,6.5 %,43.0 C,43.0 C,25.6 W,28.0 W,965.0 RPM
2018-09-15_20:21:19,2800 MHz,2012.0 MHz,0 (N/A) run sudo,5.3 %,43.0 C,43.0 C,18.8 W,28.0 W,952.0 RPM
2018-09-15_20:21:19,2800 MHz,1721.0 MHz,0 (N/A) run sudo,2.4 %,43.0 C,43.0 C,17.1 W,28.0 W,941.0 RPM
2018-09-15_20:21:19,2800 MHz,1614.0 MHz,0 (N/A) run sudo,2.4 %,43.0 C,43.0 C,17.1 W,28.0 W,936.0 RPM
2018-09-15_20:21:20,2800 MHz,1672.0 MHz,0 (N/A) run sudo,2.6 %,43.0 C,43.0 C,17.3 W,28.0 W,933.0 RPM
2018-09-15_20:21:20,2800 MHz,1759.0 MHz,0 (N/A) run sudo,1.7 %,42.0 C,43.0 C,17.2 W,28.0 W,931.0 RPM
2018-09-15_20:21:20,2800 MHz,2014.0 MHz,0 (N/A) run sudo,1.1 %,42.0 C,43.0 C,16.8 W,28.0 W,930.0 RPM
2018-09-15_20:21:20,2800 MHz,1989.0 MHz,0 (N/A) run sudo,1.5 %,42.0 C,43.0 C,17.1 W,28.0 W,975.0 RPM
2018-09-15_20:21:20,2800 MHz,1764.0 MHz,0 (N/A) run sudo,1.3 %,42.0 C,43.0 C,16.7 W,28.0 W,982.0 RPM
2018-09-15_20:21:21,2800 MHz,1817.0 MHz,0 (N/A) run sudo,1.8 %,42.0 C,43.0 C,18.5 W,28.0 W,1002.0 RPM
2018-09-15_20:21:21,2800 MHz,1738.0 MHz,0 (N/A) run sudo,1.7 %,43.0 C,43.0 C,17.5 W,28.0 W,1010.0 RPM
2018-09-15_20:21:21,2800 MHz,1685.0 MHz,0 (N/A) run sudo,2.4 %,43.0 C,43.0 C,17.5 W,28.0 W,1016.0 RPM
2018-09-15_20:21:21,2800 MHz,1661.0 MHz,0 (N/A) run sudo,2.3 %,43.0 C,43.0 C,17.5 W,28.0 W,1020.0 RPM
2018-09-15_20:21:22,2800 MHz,1725.0 MHz,0 (N/A) run sudo,3.4 %,43.0 C,43.0 C,17.3 W,28.0 W,1022.0 RPM
2018-09-15_20:21:22,2800 MHz,2099.0 MHz,0 (N/A) run sudo,2.0 %,43.0 C,43.0 C,17.5 W,28.0 W,1024.0 RPM
2018-09-15_20:21:22,2800 MHz,1876.0 MHz,0 (N/A) run sudo,0.9 %,42.0 C,43.0 C,17.3 W,28.0 W,1025.0 RPM
2018-09-15_20:21:22,2800 MHz,1743.0 MHz,0 (N/A) run sudo,1.3 %,42.0 C,43.0 C,17.9 W,28.0 W,982.0 RPM
2018-09-15_20:21:22,2800 MHz,1971.0 MHz,0 (N/A) run sudo,1.3 %,42.0 C,43.0 C,17.3 W,28.0 W,985.0 RPM
2018-09-15_20:21:23,2800 MHz,1974.0 MHz,0 (N/A) run sudo,1.5 %,42.0 C,43.0 C,17.6 W,28.0 W,967.0 RPM
2018-09-15_20:21:23,2800 MHz,1704.0 MHz,0 (N/A) run sudo,1.3 %,42.0 C,43.0 C,17.8 W,28.0 W,954.0 RPM
2018-09-15_20:21:23,2800 MHz,1668.0 MHz,0 (N/A) run sudo,1.1 %,42.0 C,43.0 C,18.0 W,28.0 W,940.0 RPM
2018-09-15_20:21:23,2800 MHz,1783.0 MHz,0 (N/A) run sudo,1.3 %,42.0 C,43.0 C,17.4 W,28.0 W,937.0 RPM
2018-09-15_20:21:24,2800 MHz,1729.0 MHz,0 (N/A) run sudo,1.1 %,42.0 C,43.0 C,17.3 W,28.0 W,934.0 RPM
2018-09-15_20:21:24,2800 MHz,1649.0 MHz,0 (N/A) run sudo,1.3 %,42.0 C,43.0 C,17.0 W,28.0 W,932.0 RPM
2018-09-15_20:21:24,2800 MHz,1960.0 MHz,0 (N/A) run sudo,1.3 %,42.0 C,43.0 C,17.1 W,28.0 W,931.0 RPM
2018-09-15_20:21:24,2800 MHz,1952.0 MHz,0 (N/A) run sudo,1.1 %,42.0 C,43.0 C,17.0 W,28.0 W,975.0 RPM
2018-09-15_20:21:24,2800 MHz,1781.0 MHz,0 (N/A) run sudo,1.1 %,42.0 C,43.0 C,17.7 W,28.0 W,981.0 RPM
2018-09-15_20:21:25,2800 MHz,1873.0 MHz,0 (N/A) run sudo,3.4 %,42.0 C,43.0 C,17.5 W,28.0 W,998.0 RPM
2018-09-15_20:21:25,2800 MHz,1821.0 MHz,0 (N/A) run sudo,1.1 %,42.0 C,43.0 C,17.6 W,28.0 W,1011.0 RPM
2018-09-15_20:21:25,2800 MHz,1677.0 MHz,0 (N/A) run sudo,1.7 %,42.0 C,43.0 C,17.4 W,28.0 W,1016.0 RPM
2018-09-15_20:21:25,2800 MHz,2015.0 MHz,0 (N/A) run sudo,1.5 %,42.0 C,43.0 C,17.3 W,28.0 W,1020.0 RPM
2018-09-15_20:21:26,2800 MHz,1960.0 MHz,0 (N/A) run sudo,1.5 %,42.0 C,43.0 C,18.1 W,28.0 W,1022.0 RPM
2018-09-15_20:21:26,2800 MHz,1814.0 MHz,0 (N/A) run sudo,1.3 %,42.0 C,43.0 C,17.4 W,28.0 W,1024.0 RPM
2018-09-15_20:21:26,2800 MHz,1708.0 MHz,0 (N/A) run sudo,1.9 %,42.0 C,43.0 C,17.6 W,28.0 W,1025.0 RPM
2018-09-15_20:21:26,2800 MHz,1978.0 MHz,0 (N/A) run sudo,1.3 %,42.0 C,43.0 C,17.3 W,28.0 W,982.0 RPM
2018-09-15_20:21:26,2800 MHz,1725.0 MHz,0 (N/A) run sudo,1.3 %,42.0 C,43.0 C,17.6 W,28.0 W,991.0 RPM
2018-09-15_20:21:27,2800 MHz,1801.0 MHz,0 (N/A) run sudo,1.3 %,42.0 C,43.0 C,17.4 W,28.0 W,972.0 RPM
2018-09-15_20:21:27,2800 MHz,1769.0 MHz,0 (N/A) run sudo,1.7 %,42.0 C,43.0 C,17.1 W,28.0 W,954.0 RPM
2018-09-15_20:21:27,2800 MHz,1730.0 MHz,0 (N/A) run sudo,1.5 %,42.0 C,43.0 C,17.6 W,28.0 W,943.0 RPM
2018-09-15_20:21:27,2800 MHz,2024.0 MHz,0 (N/A) run sudo,1.5 %,42.0 C,43.0 C,19.0 W,28.0 W,936.0 RPM
2018-09-15_20:21:28,2800 MHz,2186.0 MHz,0 (N/A) run sudo,2.7 %,42.0 C,43.0 C,18.4 W,28.0 W,934.0 RPM
2018-09-15_20:21:28,2800 MHz,1985.0 MHz,0 (N/A) run sudo,2.0 %,42.0 C,43.0 C,17.5 W,28.0 W,932.0 RPM
2018-09-15_20:21:28,2800 MHz,1842.0 MHz,0 (N/A) run sudo,1.3 %,42.0 C,43.0 C,17.6 W,28.0 W,931.0 RPM
2018-09-15_20:21:28,2800 MHz,1748.0 MHz,0 (N/A) run sudo,1.3 %,42.0 C,43.0 C,17.3 W,28.0 W,930.0 RPM
