Time,Top Freq,Cur Freq,Perf Lost,Utilization,Cur Temp,Max Temp,Cur Power,Max Power,Fan
2018-11-23_14:55:55,2800 MHz,1519.0 MHz,0 (N/A) run sudo,9.5 %,46.0 C,46.0 C,25.0 W,26.0 W,992.0 RPM
2018-11-23_14:55:55,2800 MHz,1974.0 MHz,0 (N/A) run sudo,4.5 %,46.0 C,46.0 C,29.3 W,30.0 W,992.0 RPM
2018-11-23_14:55:56,2800 MHz,2051.0 MHz,0 (N/A) run sudo,4.9 %,46.0 C,46.0 C,20.2 W,30.0 W,971.0 RPM
2018-11-23_14:55:56,2800 MHz,1851.0 MHz,0 (N/A) run sudo,5.8 %,45.0 C,46.0 C,20.5 W,30.0 W,961.0 RPM
2018-11-23_14:55:56,2800 MHz,1899.0 MHz,0 (N/A) run sudo,4.1 %,45.0 C,46.0 C,19.4 W,30.0 W,952.0 RPM
2018-11-23_14:55:56,2800 MHz,1902.0 MHz,0 (N/A) run sudo,4.5 %,45.0 C,46.0 C,19.8 W,30.0 W,949.0 RPM
2018-11-23_14:55:56,2800 MHz,1811.0 MHz,0 (N/A) run sudo,4.5 %,45.0 C,46.0 C,19.7 W,30.0 W,946.0 RPM
2018-11-23_14:55:57,2800 MHz,1866.0 MHz,0 (N/A) run sudo,4.3 %,45.0 C,46.0 C,19.8 W,30.0 W,944.0 RPM
2018-11-23_14:55:57,2800 MHz,1802.0 MHz,0 (N/A) run sudo,4.5 %,45.0 C,46.0 C,19.8 W,30.0 W,943.0 RPM
2018-11-23_14:55:57,2800 MHz,1917.0 MHz,0 (N/A) run sudo,4.5 %,45.0 C,46.0 C,20.1 W,30.0 W,986.0 RPM
2018-11-23_14:55:57,2800 MHz,1867.0 MHz,0 (N/A) run sudo,4.3 %,45.0 C,46.0 C,19.7 W,30.0 W,1008.0 RPM
2018-11-23_14:55:58,2800 MHz,2023.0 MHz,0 (N/A) run sudo,4.0 %,45.0 C,46.0 C,20.1 W,30.0 W,1021.0 RPM
2018-11-23_14:55:58,2800 MHz,1870.0 MHz,0 (N/A) run sudo,4.7 %,45.0 C,46.0 C,19.9 W,30.0 W,1030.0 RPM
2018-11-23_14:55:58,2800 MHz,1849.0 MHz,0 (N/A) run sudo,4.2 %,45.0 C,46.0 C,20.1 W,30.0 W,1035.0 RPM
2018-11-23_14:55:58,2800 MHz,1987.0 MHz,0 (N/A) run sudo,4.7 %,45.0 C,46.0 C,19.7 W,30.0 W,1038.0 RPM
2018-11-23_14:55:58,2800 MHz,1832.0 MHz,0 (N/A) run sudo,3.8 %,45.0 C,46.0 C,20.0 W,30.0 W,1040.0 RPM
2018-11-23_14:55:59,2800 MHz,1913.0 MHz,0 (N/A) run sudo,4.2 %,45.0 C,46.0 C,20.1 W,30.0 W,1040.0 RPM
2018-11-23_14:55:59,2800 MHz,1871.0 MHz,0 (N/A) run sudo,5.4 %,45.0 C,46.0 C,19.7 W,30.0 W,1040.0 RPM
2018-11-23_14:55:59,2800 MHz,1930.0 MHz,0 (N/A) run sudo,4.3 %,45.0 C,46.0 C,20.1 W,30.0 W,1015.0 RPM
2018-11-23_14:55:59,2800 MHz,1830.0 MHz,0 (N/A) run sudo,4.2 %,45.0 C,46.0 C,20.2 W,30.0 W,993.0 RPM
2018-11-23_14:56:00,2800 MHz,1863.0 MHz,0 (N/A) run sudo,4.3 %,45.0 C,46.0 C,20.1 W,30.0 W,968.0 RPM
2018-11-23_14:56:00,2800 MHz,2019.0 MHz,0 (N/A) run sudo,5.0 %,45.0 C,46.0 C,20.2 W,30.0 W,958.0 RPM
2018-11-23_14:56:00,2800 MHz,1974.0 MHz,0 (N/A) run sudo,5.1 %,45.0 C,46.0 C,21.4 W,30.0 W,952.0 RPM
2018-11-23_14:56:00,2800 MHz,1875.0 MHz,0 (N/A) run sudo,4.3 %,45.0 C,46.0 C,20.3 W,30.0 W,947.0 RPM
2018-11-23_14:56:00,2800 MHz,1915.0 MHz,0 (N/A) run sudo,4.7 %,45.0 C,46.0 C,19.9 W,30.0 W,945.0 RPM
2018-11-23_14:56:01,2800 MHz,1903.0 MHz,0 (N/A) run sudo,4.5 %,45.0 C,46.0 C,20.3 W,30.0 W,944.0 RPM
2018-11-23_14:56:01,2800 MHz,1844.0 MHz,0 (N/A) run sudo,4.5 %,45.0 C,46.0 C,21.3 W,30.0 W,946.0 RPM
2018-11-23_14:56:01,2800 MHz,2133.0 MHz,0 (N/A) run sudo,5.0 %,45.0 C,46.0 C,20.3 W,30.0 W,984.0 RPM
2018-11-23_14:56:01,2800 MHz,1840.0 MHz,0 (N/A) run sudo,4.8 %,44.0 C,46.0 C,19.9 W,30.0 W,1007.0 RPM
2018-11-23_14:56:02,2800 MHz,1969.0 MHz,0 (N/A) run sudo,4.1 %,44.0 C,46.0 C,20.0 W,30.0 W,1022.0 RPM
2018-11-23_14:56:02,2800 MHz,1931.0 MHz,0 (N/A) run sudo,4.7 %,44.0 C,46.0 C,20.0 W,30.0 W,1031.0 RPM
2018-11-23_14:56:02,2800 MHz,1894.0 MHz,0 (N/A) run sudo,4.1 %,44.0 C,46.0 C,19.9 W,30.0 W,1036.0 RPM
2018-11-23_14:56:02,2800 MHz,1950.0 MHz,0 (N/A) run sudo,4.3 %,44.0 C,46.0 C,20.3 W,30.0 W,1038.0 RPM
2018-11-23_14:56:02,2800 MHz,1931.0 MHz,0 (N/A) run sudo,5.3 %,45.0 C,46.0 C,20.3 W,30.0 W,1039.0 RPM
2018-11-23_14:56:03,2800 MHz,2068.0 MHz,0 (N/A) run sudo,9.0 %,45.0 C,46.0 C,21.0 W,30.0 W,1040.0 RPM
2018-11-23_14:56:03,2800 MHz,1979.0 MHz,0 (N/A) run sudo,8.6 %,45.0 C,46.0 C,20.1 W,30.0 W,1041.0 RPM
2018-11-23_14:56:03,2800 MHz,2028.0 MHz,0 (N/A) run sudo,8.1 %,45.0 C,46.0 C,19.9 W,30.0 W,1009.0 RPM
2018-11-23_14:56:03,2800 MHz,1973.0 MHz,0 (N/A) run sudo,8.9 %,45.0 C,46.0 C,20.8 W,30.0 W,988.0 RPM
2018-11-23_14:56:04,2800 MHz,2124.0 MHz,0 (N/A) run sudo,7.7 %,46.0 C,46.0 C,29.1 W,30.0 W,968.0 RPM
2018-11-23_14:56:04,2800 MHz,2138.0 MHz,0 (N/A) run sudo,7.8 %,46.0 C,46.0 C,29.6 W,30.0 W,956.0 RPM
2018-11-23_14:56:04,2800 MHz,2112.0 MHz,0 (N/A) run sudo,7.8 %,46.0 C,46.0 C,28.8 W,30.0 W,950.0 RPM
2018-11-23_14:56:04,2800 MHz,2154.0 MHz,0 (N/A) run sudo,7.9 %,46.0 C,46.0 C,29.4 W,30.0 W,947.0 RPM
2018-11-23_14:56:04,2800 MHz,2195.0 MHz,0 (N/A) run sudo,7.5 %,46.0 C,46.0 C,28.9 W,30.0 W,944.0 RPM
2018-11-23_14:56:05,2800 MHz,2155.0 MHz,0 (N/A) run sudo,7.3 %,46.0 C,46.0 C,28.8 W,30.0 W,943.0 RPM
2018-11-23_14:56:05,2800 MHz,2117.0 MHz,0 (N/A) run sudo,7.2 %,46.0 C,46.0 C,28.8 W,30.0 W,943.0 RPM
2018-11-23_14:56:05,2800 MHz,2209.0 MHz,0 (N/A) run sudo,7.8 %,46.0 C,46.0 C,28.7 W,30.0 W,980.0 RPM
2018-11-23_14:56:05,2800 MHz,2099.0 MHz,0 (N/A) run sudo,7.2 %,46.0 C,46.0 C,29.0 W,30.0 W,1009.0 RPM
2018-11-23_14:56:06,2800 MHz,1895.0 MHz,0 (N/A) run sudo,10.0 %,46.0 C,46.0 C,27.0 W,30.0 W,1024.0 RPM
2018-11-23_14:56:06,2800 MHz,1967.0 MHz,0 (N/A) run sudo,10.6 %,45.0 C,46.0 C,23.8 W,30.0 W,1031.0 RPM
2018-11-23_14:56:06,2800 MHz,1976.0 MHz,0 (N/A) run sudo,9.0 %,45.0 C,46.0 C,23.4 W,30.0 W,1035.0 RPM
2018-11-23_14:56:06,2800 MHz,1962.0 MHz,0 (N/A) run sudo,11.0 %,45.0 C,46.0 C,23.3 W,30.0 W,1037.0 RPM
2018-11-23_14:56:06,2800 MHz,2213.0 MHz,0 (N/A) run sudo,9.7 %,45.0 C,46.0 C,28.7 W,30.0 W,1039.0 RPM
2018-11-23_14:56:07,2800 MHz,2046.0 MHz,0 (N/A) run sudo,8.2 %,45.0 C,46.0 C,27.9 W,30.0 W,1040.0 RPM
2018-11-23_14:56:07,2800 MHz,2208.0 MHz,0 (N/A) run sudo,8.6 %,46.0 C,46.0 C,31.4 W,32.0 W,1040.0 RPM
2018-11-23_14:56:07,2800 MHz,2157.0 MHz,0 (N/A) run sudo,7.6 %,46.0 C,46.0 C,28.9 W,32.0 W,1010.0 RPM
2018-11-23_14:56:07,2800 MHz,2021.0 MHz,0 (N/A) run sudo,7.0 %,46.0 C,46.0 C,25.0 W,32.0 W,984.0 RPM
2018-11-23_14:56:08,2800 MHz,1982.0 MHz,0 (N/A) run sudo,4.7 %,46.0 C,46.0 C,20.0 W,32.0 W,969.0 RPM
