Timestamp,Power
,
2018-09-18_19:29:08,4.9
2018-09-18_19:29:08,4.7
2018-09-18_19:29:08,5.2
2018-09-18_19:29:08,5
2018-09-18_19:29:08,4
2018-09-18_19:29:08,5.1
2018-09-18_19:29:08,4.8
2018-09-18_19:29:08,4.8
2018-09-18_19:29:08,5.3
2018-09-18_19:29:08,4.8
2018-09-18_19:29:08,4.7
2018-09-18_19:29:08,4.5
2018-09-18_19:29:08,4.8
2018-09-18_19:29:08,5.3
2018-09-18_19:29:08,5
2018-09-18_19:29:08,5.6
2018-09-18_19:29:08,4.8
2018-09-18_19:29:08,4.7
2018-09-18_19:29:08,5.4
2018-09-18_19:29:08,5.5
2018-09-18_19:29:08,5.2
2018-09-18_19:29:08,5.1
2018-09-18_19:29:08,5.1
2018-09-18_19:29:08,4.1
2018-09-18_19:29:08,5.1
2018-09-18_19:29:08,5
2018-09-18_19:29:08,5.6
2018-09-18_19:29:08,5.2
2018-09-18_19:29:08,4.8
2018-09-18_19:29:08,4.8
2018-09-18_19:29:08,4.7
2018-09-18_19:29:08,5.2
2018-09-18_19:29:08,4.4
2018-09-18_19:29:08,4.5
2018-09-18_19:29:08,4.8
2018-09-18_19:29:08,4.5
2018-09-18_19:29:08,5.5
2018-09-18_19:29:08,4.6
2018-09-18_19:29:08,5.2
2018-09-18_19:29:08,5.1
2018-09-18_19:29:08,5.7
2018-09-18_19:29:08,5
2018-09-18_19:29:08,5.3
2018-09-18_19:29:08,4.7
2018-09-18_19:29:08,5
2018-09-18_19:29:08,4.8
2018-09-18_19:29:08,4.9
2018-09-18_19:29:08,4.5
2018-09-18_19:29:08,5.5
2018-09-18_19:29:08,5.1
2018-09-18_19:29:08,4.5
2018-09-18_19:29:08,5.3
2018-09-18_19:29:08,5.2
2018-09-18_19:29:08,5
2018-09-18_19:29:08,5.7
2018-09-18_19:29:08,4.8
2018-09-18_19:29:08,5.1
2018-09-18_19:29:08,5.1
2018-09-18_19:29:08,4.6
2018-09-18_19:44:08,5.8
