Time,,,,,,,Power,Volts,Amps
,,,,,,,,,
2018-10-18_22:36:36,,,,,,,0.741,4.94,0.15
2018-10-18_22:36:36,,,,,,,0.8398,4.94,0.17
2018-10-18_22:36:36,,,,,,,0.8381,4.93,0.17
2018-10-18_22:36:36,,,,,,,0.741,4.94,0.15
2018-10-18_22:36:36,,,,,,,0.741,4.94,0.15
2018-10-18_22:36:36,,,,,,,0.741,4.94,0.15
2018-10-18_22:36:36,,,,,,,0.8398,4.94,0.17
2018-10-18_22:36:36,,,,,,,0.741,4.94,0.15
2018-10-18_22:36:36,,,,,,,0.8398,4.94,0.17
2018-10-18_22:36:36,,,,,,,0.8398,4.94,0.17
2018-10-18_22:36:36,,,,,,,0.8398,4.94,0.17
2018-10-18_22:36:36,,,,,,,0.741,4.94,0.15
2018-10-18_22:36:36,,,,,,,0.8398,4.94,0.17
2018-10-18_22:36:36,,,,,,,0.8398,4.94,0.17
2018-10-18_22:36:36,,,,,,,0.891,4.95,0.18
2018-10-18_22:36:36,,,,,,,0.741,4.94,0.15
2018-10-18_22:36:36,,,,,,,0.741,4.94,0.15
2018-10-18_22:36:36,,,,,,,0.741,4.94,0.15
2018-10-18_22:36:36,,,,,,,0.8398,4.94,0.17
2018-10-18_22:36:36,,,,,,,0.741,4.94,0.15
2018-10-18_22:36:36,,,,,,,0.8398,4.94,0.17
2018-10-18_22:36:36,,,,,,,0.741,4.94,0.15
2018-10-18_22:36:36,,,,,,,0.8398,4.94,0.17
2018-10-18_22:36:36,,,,,,,0.7395,4.93,0.15
2018-10-18_22:36:36,,,,,,,0.741,4.94,0.15
2018-10-18_22:36:36,,,,,,,0.8398,4.94,0.17
2018-10-18_22:36:36,,,,,,,0.8398,4.94,0.17
2018-10-18_22:36:36,,,,,,,0.741,4.94,0.15
2018-10-18_22:36:36,,,,,,,0.741,4.94,0.15
2018-10-18_22:36:36,,,,,,,0.8398,4.94,0.17
2018-10-18_22:36:36,,,,,,,0.8398,4.94,0.17
2018-10-18_22:36:36,,,,,,,0.741,4.94,0.15
2018-10-18_22:36:36,,,,,,,0.8398,4.94,0.17
2018-10-18_22:36:36,,,,,,,0.741,4.94,0.15
2018-10-18_22:36:36,,,,,,,0.741,4.94,0.15
2018-10-18_22:36:36,,,,,,,0.8398,4.94,0.17
2018-10-18_22:36:36,,,,,,,0.741,4.94,0.15
2018-10-18_22:36:36,,,,,,,0.741,4.94,0.15
2018-10-18_22:36:36,,,,,,,0.8398,4.94,0.17
2018-10-18_22:36:36,,,,,,,0.8381,4.93,0.17
2018-10-18_22:36:36,,,,,,,0.6916,4.94,0.14
2018-10-18_22:36:36,,,,,,,0.8398,4.94,0.17
2018-10-18_22:36:36,,,,,,,0.8381,4.93,0.17
2018-10-18_22:36:36,,,,,,,0.741,4.94,0.15
2018-10-18_22:36:36,,,,,,,0.741,4.94,0.15
2018-10-18_22:36:36,,,,,,,0.8398,4.94,0.17
2018-10-18_22:36:36,,,,,,,0.741,4.94,0.15
2018-10-18_22:36:36,,,,,,,0.8398,4.94,0.17
2018-10-18_22:36:36,,,,,,,0.741,4.94,0.15
2018-10-18_22:36:36,,,,,,,0.8398,4.94,0.17
2018-10-18_22:36:36,,,,,,,0.8892,4.94,0.18
2018-10-18_22:36:36,,,,,,,0.741,4.94,0.15
2018-10-18_22:36:36,,,,,,,0.741,4.94,0.15
2018-10-18_22:36:36,,,,,,,0.8398,4.94,0.17
2018-10-18_22:36:36,,,,,,,0.741,4.94,0.15
2018-10-18_22:36:36,,,,,,,0.8398,4.94,0.17
2018-10-18_22:36:36,,,,,,,0.8398,4.94,0.17
2018-10-18_22:36:36,,,,,,,0.741,4.94,0.15
2018-10-18_22:36:36,,,,,,,0.8398,4.94,0.17
2018-10-18_22:51:36,,,,,,,0.741,4.94,0.15
