Timestamp,Power
,
2018-09-19_18:43:56,4.5
2018-09-19_18:43:56,5.4
2018-09-19_18:43:56,5.6
2018-09-19_18:43:56,4.8
2018-09-19_18:43:56,5.3
2018-09-19_18:43:56,5.2
2018-09-19_18:43:56,5.1
2018-09-19_18:43:56,4.4
2018-09-19_18:43:56,4.5
2018-09-19_18:43:56,5
2018-09-19_18:43:56,4.7
2018-09-19_18:43:56,5
2018-09-19_18:43:56,4.6
2018-09-19_18:43:56,4.7
2018-09-19_18:43:56,4.3
2018-09-19_18:43:56,4.7
2018-09-19_18:43:56,4.8
2018-09-19_18:43:56,3.8
2018-09-19_18:43:56,5.4
2018-09-19_18:43:56,4.8
2018-09-19_18:43:56,4.6
2018-09-19_18:43:56,5.1
2018-09-19_18:43:56,5.1
2018-09-19_18:43:56,4.8
2018-09-19_18:43:56,4.6
2018-09-19_18:43:56,4.8
2018-09-19_18:43:56,5.1
2018-09-19_18:43:56,4.4
2018-09-19_18:43:56,4.3
2018-09-19_18:43:56,4.9
2018-09-19_18:43:56,4.1
2018-09-19_18:43:56,4.7
2018-09-19_18:43:56,4.8
2018-09-19_18:43:56,5
2018-09-19_18:43:56,4.9
2018-09-19_18:43:56,4.5
2018-09-19_18:43:56,5.4
2018-09-19_18:43:56,3.9
2018-09-19_18:43:56,5.2
2018-09-19_18:43:56,4.4
2018-09-19_18:43:56,5.7
2018-09-19_18:43:56,4.6
2018-09-19_18:43:56,4.5
2018-09-19_18:43:56,5
2018-09-19_18:43:56,5.1
2018-09-19_18:43:56,4.7
2018-09-19_18:43:56,5.7
2018-09-19_18:43:56,5.3
2018-09-19_18:43:56,4.8
2018-09-19_18:43:56,5.2
2018-09-19_18:43:56,5.7
2018-09-19_18:43:56,4.8
2018-09-19_18:43:56,5
2018-09-19_18:43:56,4.6
2018-09-19_18:43:56,5.4
2018-09-19_18:43:56,4.4
2018-09-19_18:43:56,5
2018-09-19_18:43:56,5.1
2018-09-19_18:43:56,4.8
2018-09-19_18:58:56,5.4
