Time,Total Power (W),P_VDD,V_VDD,I_VDD,P_VDDM,V_VDDM,I_VDDM
2019-03-25_12:45:21.559800,0.029164112760209998,0.00841500179286,0.7513428,0.01119995,0.02074911096735,0.9017334,0.02301025
2019-03-25_12:45:21.929660,0.030514724363532003,0.009160198608756,0.7513428,0.01219177,0.021354525754776,0.9017334,0.02368164
2019-03-25_12:45:22.289518,0.029512661994276,0.008598434624052,0.7513428,0.01144409,0.020914227370224,0.9017334,0.02319336
2019-03-25_12:45:22.644274,0.029447928474554998,0.008839194910884,0.7513428,0.01176453,0.020608733563671,0.9016113,0.02285767
2019-03-25_12:45:22.998847,0.029937816023997997,0.009219022768936,0.7514648,0.01226807,0.020718793255062,0.9016113,0.02297974
2019-03-25_12:45:23.352935,0.028986117220707,0.008404900833912,0.7514648,0.01118469,0.020581216386795,0.9016113,0.02282715
2019-03-25_12:45:23.712157,0.03006989492949,0.008770401964116,0.7513428,0.01167297,0.021299492965374,0.9017334,0.02362061
2019-03-25_12:45:24.061637,0.029445632358141002,0.008644296588564,0.7513428,0.01150513,0.020801335769577,0.9016113,0.02307129
2019-03-25_12:45:24.422147,0.029159117875862003,0.008462237598152001,0.7514648,0.01126099,0.02069688027771,0.9018555,0.02294922
2019-03-25_12:45:24.786965,0.02984741683218,0.008988231268692,0.7513428,0.01196289,0.020859185563488,0.9017334,0.02313232
2019-03-25_12:45:25.150199,0.029340158861369998,0.008621365606308,0.7513428,0.01147461,0.020718793255062,0.9016113,0.02297974
2019-03-25_12:45:25.522614,0.029079587574072,0.009021161483469,0.7512207,0.01200867,0.020058426090602998,0.9016113,0.02224731
2019-03-25_12:45:25.873529,0.029562060144185998,0.00887358387084,0.7513428,0.0118103,0.020688476273346,0.9014893,0.02294922
2019-03-25_12:45:26.236298,0.029541924440403,0.008575503641796,0.7513428,0.01141357,0.020966420798607,0.9016113,0.02325439
2019-03-25_12:45:26.614555,0.029029238184843,0.008690151039648,0.7513428,0.01156616,0.020339087145195,0.9018555,0.02255249
2019-03-25_12:45:26.985073,0.029719332114315,0.008917996344738,0.7512207,0.01187134,0.020801335769577,0.9016113,0.02307129
